Gene	NAME	ERR688513.kegg.e-15.m8-hit-keg-cat	ERR688523.kegg.e-15.m8-hit-keg-cat	ERR688534.kegg.e-15.m8-hit-keg-cat	ERR688548.kegg.e-15.m8-hit-keg-cat	ERR688557.kegg.e-15.m8-hit-keg-cat	ERR688560.kegg.e-15.m8-hit-keg-cat	ERR688561.kegg.e-15.m8-hit-keg-cat	ERR688574.kegg.e-15.m8-hit-keg-cat	ERR688580.kegg.e-15.m8-hit-keg-cat	ERR688581.kegg.e-15.m8-hit-keg-cat	ERR688589.kegg.e-15.m8-hit-keg-cat	ERR688613.kegg.e-15.m8-hit-keg-cat	ERR688615.kegg.e-15.m8-hit-keg-cat	ERR688623.kegg.e-15.m8-hit-keg-cat	ERR688627.kegg.e-15.m8-hit-keg-cat	ERR688632.kegg.e-15.m8-hit-keg-cat	ERR688635.kegg.e-15.m8-hit-keg-cat	ERR688638.kegg.e-15.m8-hit-keg-cat	ERR688642.kegg.e-15.m8-hit-keg-cat	ERR688650.kegg.e-15.m8-hit-keg-cat	ERR710424.kegg.e-15.m8-hit-keg-cat	ERR710426.kegg.e-15.m8-hit-keg-cat	ERR710427.kegg.e-15.m8-hit-keg-cat	ERR710428.kegg.e-15.m8-hit-keg-cat	ERR710429.kegg.e-15.m8-hit-keg-cat	ERR710430.kegg.e-15.m8-hit-keg-cat	ERR710431.kegg.e-15.m8-hit-keg-cat	ERR710432.kegg.e-15.m8-hit-keg-cat	mock_even_lc-hit-keg-cat
K02027	K02027: multiple sugar transport system substrate-binding protein	0.0010359	0	0.00140502	0.00131854	0.00154748	0.00119049	0.00122254	0.00126873	0.00128855	0.00129766	0.00133502	0.00129143	0.00175089	0.00149719	0.000967288	0.000955332	0	0.000780151	0.00109986	0.00121951	0.000757578	0.00144363	0.000925323	0.00114085	0.00115471	0.0017463	0.00126546	0.00103213	0.000769922
K02028	K02028: polar amino acid transport system ATP-binding protein	0.00155696	0	0.00147369	0.00156564	0.00168131	0.00191553	0.00148468	0.00143045	0.00151645	0.00141402	0.00157437	0.00163076	0.00146142	0.00130958	0.0013922	0.00145058	0	0.00162371	0.00124646	0.00140498	0.00092932	0.00140877	0.0014449	0.00130779	0.00168373	0.00144607	0.00146394	0.00115239	0.00147364
K02029	K02029: polar amino acid transport system permease protein	0.00234986	0	0.00229067	0.00232441	0.00251808	0.00256581	0.00231163	0.00205031	0.00240709	0.00228274	0.00265274	0.0027491	0.00254378	0.00214596	0.00221404	0.00211248	0	0.00244353	0.00179543	0.00231077	0.00163208	0.00203433	0.00214661	0.00195991	0.00202715	0.0024816	0.00206157	0.00180519	0.00219765
K02030	K02030: polar amino acid transport system substrate-binding protein	0.00198107	0	0.00200523	0.00212964	0.00212626	0.00214421	0.00193752	0.00190138	0.00208942	0.00201975	0.00224773	0.0024016	0.00226129	0.00197429	0.0019106	0.00192553	0	0.00194368	0.00159115	0.00217001	0.00151774	0.00191742	0.00192172	0.0018	0.00189504	0.00217663	0.00172888	0.00159456	0.00226082
K02031	K02031: peptide/nickel transport system ATP-binding protein	0.00158664	0	0.00136861	0.00155423	0.00171937	0.00165555	0.00181287	0.00147983	0.00154657	0.00144317	0.00162109	0.00195504	0.00191709	0.00178597	0.00157888	0.00152584	0	0.00107949	0.00126099	0.00158185	0.00119237	0.00187872	0.00138972	0.00165786	0.00154654	0.00164821	0.00122079	0.000954965	0.0019521
K02032	K02032: peptide/nickel transport system ATP-binding protein	0.00159937	0	0.00149103	0.00172712	0.00180049	0.00179325	0.00219452	0.00166421	0.00163895	0.00168516	0.00163381	0.00226691	0.00181161	0.00190673	0.00148232	0.00150109	0	0.00121769	0.00143014	0.00170077	0.00128078	0.0018701	0.00142428	0.00174706	0.00144817	0.0017605	0.00103408	0.000987185	0.00136245
K02033	K02033: peptide/nickel transport system permease protein	0.00171891	0	0.00148756	0.00173201	0.00174638	0.00186749	0.00182306	0.00161737	0.00178404	0.00167619	0.00177087	0.00205239	0.00185872	0.00197981	0.00157684	0.00160966	0	0.00118275	0.00128498	0.00174376	0.00140231	0.00197535	0.00133811	0.0017136	0.00150258	0.00168412	0.00110937	0.0011871	0.00133918
K02034	K02034: peptide/nickel transport system permease protein	0.00178938	0	0.00147373	0.00179703	0.00174675	0.00179472	0.00183898	0.00172454	0.00177091	0.00172086	0.00176739	0.00203707	0.0018838	0.00201938	0.00169375	0.00163323	0	0.00117484	0.00135307	0.00168665	0.00148204	0.00214082	0.00142813	0.00187525	0.00162198	0.00184531	0.00105591	0.00110404	0.00097325
K02035	K02035: peptide/nickel transport system substrate-binding protein	0.00135249	0	0.00136858	0.00125348	0.00153461	0.00189388	0.00161756	0.00115011	0.00114105	0.00136854	0.00119625	0.00143189	0.00168445	0.00155849	0.00110147	0.00123377	0	0.00167058	0.000980563	0.00113232	0.000714114	0.00144728	0.000894413	0.00129515	0.00110368	0.00125216	0.000717948	0.000789484	0.00143604
K02036	K02036: phosphate transport system ATP-binding protein	0.000841876	0	0.000947705	0.000936475	0.000809364	0.000949056	0.000818688	0.00091993	0.000920933	0.000745554	0.000941225	0.000897091	0.00120067	0.000886568	0.000911005	0.000859214	0	0.00103228	0.000867077	0.00078024	0.000768376	0.000876887	0.000788573	0.000812479	0.000876895	0.000691273	0.000825705	0.000832873	0.000599773
K02037	K02037: phosphate transport system permease protein	0.000725661	0	0.00069045	0.000665878	0.000724741	0.000638408	0.000692388	0.000732301	0.000804186	0.000678252	0.000809449	0.000760857	0.000736169	0.000780732	0.00073542	0.000769011	0	0.00039116	0.000783422	0.000716538	0.000694327	0.000673771	0.00063898	0.000685443	0.000738509	0.000709482	0.000775162	0.000801623	0.000156981
K02038	K02038: phosphate transport system permease protein	0.000749617	0	0.000575354	0.000637179	0.000648617	0.000574944	0.000576204	0.000761626	0.000778557	0.000603237	0.000728461	0.000696163	0.000773917	0.000682574	0.000830617	0.000765917	0	0.000475096	0.000682373	0.000826178	0.000767695	0.000721875	0.000688922	0.000710859	0.000699311	0.000572571	0.000870019	0.000727934	0.00115968
K02039	K02039: phosphate transport system protein	0.000707178	0	0.000702738	0.000718579	0.000729504	0.000654418	0.000542085	0.000800407	0.000756778	0.000612246	0.000814011	0.000755342	0.000718113	0.000766748	0.00077048	0.000699392	0	0.000561529	0.00067318	0.000702679	0.000798133	0.000708381	0.000764044	0.000714644	0.000781142	0.000618926	0.000672369	0.000690894	2.73E-08
K02040	K02040: phosphate transport system substrate-binding protein	0.00073267	0	0.000685376	0.000728988	0.000674677	0.000663061	0.00073003	0.000859347	0.000840615	0.0006855	0.00084546	0.000724196	0.000790475	0.000762569	0.000864705	0.000843388	0	0.00064833	0.000737109	0.000851025	0.00081236	0.000757961	0.000874336	0.000811255	0.000771662	0.000764555	0.000910306	0.000882449	0.00116783
K02041	K02041: phosphonate transport system ATP-binding protein	3.07E-05	0	8.44E-05	3.47E-05	8.11E-05	0.00011001	9.46E-05	0.00020483	0.000179402	0.000106039	0.000162639	0.00014507	6.03E-05	0.000158814	0.000205365	0.000137651	0	0.000122608	0.000125176	0.000100112	0	9.94E-05	0.000123448	8.20E-05	9.55E-05	5.05E-05	2.36E-05	5.51E-05	0.000298628
K02042	K02042: phosphonate transport system permease protein	6.03E-05	0	0.00013555	6.59E-05	0.000189131	0.000259546	0.000222021	0.000290652	0.000218139	0.000233835	0.000248219	0.000257797	9.84E-05	0.000278181	0.000307343	0.000236299	0	0.000205444	0.000210299	0.00015228	7.76E-05	0.000175017	0.000203413	0.00018495	0.000187002	0.000119303	8.76E-05	0.000121595	0.000508717
K02043	K02043: GntR family transcriptional regulator- phosphonate transport system	1.79E-05	0	5.35E-05	1.52E-05	3.69E-05	1.91E-05	3.77E-05	0	1.08E-05	1.60E-05	0	2.01E-05	1.77E-05	0	7.32E-06	7.61E-06	0	6.64E-05	1.03E-05	1.06E-05	0	0	7.56E-06	0	9.64E-06	1.89E-05	0	0	0
K02044	K02044: phosphonate transport system substrate-binding protein	4.02E-05	0	5.59E-05	8.91E-05	0.000117874	0.000127813	0.000103786	0.000137375	0.000128361	0.000106665	9.37E-05	0.000119271	5.86E-05	0.000114301	0.000132874	0.000136759	0	0.000243102	9.98E-05	9.75E-05	6.49E-05	6.87E-05	0.000104006	8.18E-05	9.28E-05	4.01E-05	1.71E-05	7.22E-05	0.00021525
K02045	K02045: sulfate transport system ATP-binding protein	8.55E-05	0	0.000147322	0.000156277	0.000239359	0.000210119	0.000229962	0.00012868	0.000125709	0.000144323	0.000147375	0.000221952	0.000165721	0.00011452	0.000107123	0.000104959	0	0.000110945	0.000100887	0.00016225	0.000359015	0.000140902	0.000100194	0.00010155	0.000144247	0.0001287	0.000218545	0.000114109	0.000148346
K02046	K02046: sulfate transport system permease protein	0.000140563	0	0.000162074	0.000212203	0.00019179	0.000166346	0.000100222	0.000123542	0.000103703	9.00E-05	0.00017641	0.00022006	0.000136082	7.73E-05	0.000120571	7.94E-05	0	5.86E-05	9.85E-05	0.000138757	0.000258499	6.84E-05	0.000137951	0.000112981	0.000175792	0.000163042	0.000231473	9.12E-05	0.000121943
K02047	K02047: sulfate transport system permease protein	0.000128979	0	0.000152469	0.000162094	0.000213762	0.000155997	0.000127457	0.000109748	0.00011893	9.50E-05	0.000158483	0.000201349	0.000107593	7.67E-05	9.44E-05	8.07E-05	0	5.77E-05	9.18E-05	0.000121535	0.00016364	6.00E-05	0.00012444	0.000117283	0.00011651	0.000139253	0.000314853	0.000120497	0
K02048	K02048: sulfate transport system substrate-binding protein	0.000192902	0	0.000154607	0.000183814	0.000225921	0.000179244	0.000164299	0.000123072	0.000154993	0.000109255	0.000133013	0.000253201	0.000110512	6.35E-05	7.92E-05	7.57E-05	0	9.72E-05	7.48E-05	0.000129791	0.000184876	7.15E-05	0.000109408	0.000136467	0.00013163	0.000201754	0.000209443	0.000162752	0.000222216
K02049	K02049: sulfonate/nitrate/taurine transport system ATP-binding protein	0.000992866	0	0.00090253	0.000961784	0.000966529	0.000906616	0.0012139	0.000926952	0.000876603	0.000999673	0.000987438	0.0011517	0.00100705	0.000949232	0.000925637	0.000837917	0	0.000750936	0.000927046	0.00103745	0.000684108	0.00134018	0.0009535	0.000964487	0.000869911	0.00115085	0.000608976	0.000682756	0.000509649
K02050	K02050: sulfonate/nitrate/taurine transport system permease protein	0.000842807	0	0.000877967	0.000982144	0.00119378	0.00103072	0.00129653	0.00097146	0.00094718	0.00111475	0.00102843	0.00113152	0.00111529	0.0010266	0.000980244	0.000892252	0	0.000359399	0.000853491	0.0011861	0.000538586	0.00132778	0.00101164	0.00102563	0.00109241	0.00118139	0.000803615	0.000865256	0.000996153
K02051	K02051: sulfonate/nitrate/taurine transport system substrate-binding protein	0.000929319	0	0.000787983	0.000811377	0.00100928	0.000807587	0.00067878	0.000977274	0.000776422	0.000941839	0.000797401	0.00103601	0.000986273	0.000765114	0.000828901	0.000877769	0	0.00055555	0.000676532	0.00108697	0.00060735	0.00116571	0.000889524	0.000923492	0.000828776	0.000888801	0.000635521	0.0007202	0.00105553
K02052	K02052: putative spermidine/putrescine transport system ATP-binding protein	0.000199343	0	0.000189246	0.000130318	0.000119344	0.000154752	0.000153138	0.000186462	0.000160342	0.000182881	0.000203146	0.000209393	0.000245275	0.000176599	0.000153963	0.000178677	0	0.000129704	0.000165976	0.000112625	0.000138855	0.000190858	0.000110747	0.000138677	0.000113867	0.000201054	0.000101688	9.63E-05	0.00020896
K02053	K02053: putative spermidine/putrescine transport system permease protein	0.000271965	0	0.000215775	0.000287336	0.000257434	0.000274066	0.000208752	0.000243704	0.000285033	0.000202604	0.00021548	0.000366378	0.000301077	0.000234552	0.000164607	0.000182997	0	0.000209765	0.00018678	0.000161936	0	0.000253526	0.000103874	0.000196369	0.000199154	0.00040147	3.14E-05	6.39E-05	0.000467133
K02054	K02054: putative spermidine/putrescine transport system permease protein	0.000148553	0	0.000121205	0.000183746	0.000144441	0.000100185	4.31E-05	0.000139975	0.000183788	0.000136287	0.000109234	0.00020103	0.000173622	0.000133889	0.000164406	0.000185897	0	0.000155188	0.000209553	0.000152663	3.81E-05	0.000204465	8.92E-05	0.000136763	0.000133491	0.000199704	4.98E-05	8.23E-05	0.00024844
K02055	K02055: putative spermidine/putrescine transport system substrate-binding	0.000129548	0	8.72E-05	7.98E-05	4.66E-05	3.80E-05	4.78E-05	8.15E-05	9.36E-05	0.000102325	6.34E-05	0.000113314	6.64E-05	6.53E-05	6.52E-05	6.52E-05	0	0.000176612	8.33E-05	8.64E-05	0	8.86E-05	5.68E-05	5.81E-05	8.32E-05	0.000201293	6.39E-05	3.87E-05	6.15E-05
K02056	K02056: simple sugar transport system ATP-binding protein	0.000684844	0	0.000663296	0.000804	0.000791506	0.000789175	0.000696138	0.000728939	0.000752368	0.000777657	0.000980074	0.000977602	0.000638357	0.00106642	0.000719858	0.000747972	0	0.000537405	0.000714727	0.000889435	0.000511655	0.000738985	0.000806577	0.000654296	0.000629913	0.000925804	0.000603072	0.000631586	0.000536321
K02057	K02057: simple sugar transport system permease protein	0.00149109	0	0.00114991	0.0011547	0.00145851	0.0014875	0.00122471	0.00148794	0.00169106	0.00177959	0.00191057	0.00190694	0.00135342	0.00170953	0.00153272	0.00163489	0	0.0007721	0.00115127	0.00160966	0.000800704	0.00158394	0.00151058	0.00138928	0.00136921	0.00171314	0.000966888	0.00100557	0.000579557
K02058	K02058: simple sugar transport system substrate-binding protein	0.000329029	0	0.000398606	0.000369371	0.000335607	0.000217565	0.000457602	0.000228208	0.000298451	0.00028877	0.000321516	0.000486651	0.000309752	0.000410284	0.000248475	0.000320404	0	0.000359045	0.000329807	0.000389863	8.70E-05	0.000304417	0.000246847	0.000352279	0.000273957	0.000466164	0.000237618	0.000183737	7.93E-05
K02059	K02059: putative sulfate transport system ATP-binding protein	0	0	1.09E-05	1.93E-05	0	1.39E-05	2.62E-05	1.64E-05	7.64E-06	1.70E-05	1.27E-05	7.00E-06	3.68E-05	1.25E-05	2.61E-05	1.66E-05	0	0	0	0	0	7.70E-06	5.96E-06	1.88E-05	1.42E-05	0	0	0	0
K02062	K02062: thiamine transport system ATP-binding protein	7.55E-05	0	2.78E-05	1.57E-05	3.81E-05	4.14E-05	3.90E-05	5.34E-06	1.12E-05	8.29E-06	8.59E-06	2.09E-05	0	0	0	0	0	6.89E-05	1.06E-05	1.09E-05	0	2.23E-05	0	0	1.69E-05	1.93E-05	0	0	3.47E-05
K02063	K02063: thiamine transport system permease protein	3.25E-05	0	3.01E-05	6.91E-06	1.67E-05	1.74E-05	3.44E-05	0	4.92E-06	1.04E-05	0	3.21E-05	7.85E-06	0	0	0	0	4.52E-05	4.68E-06	1.45E-05	0	0	0	0	4.39E-06	0	0	6.89E-06	0
K02064	K02064: thiamine transport system substrate-binding protein	5.23E-05	0	2.01E-05	1.15E-05	2.77E-05	2.83E-05	2.87E-05	0	8.21E-06	1.16E-05	0	1.51E-05	0	0	0	0	0	4.98E-05	7.82E-06	1.61E-05	0	0	0	6.74E-06	7.33E-06	2.85E-05	0	0	0.000207341
K02065	K02065: putative ABC transport system ATP-binding protein	0.000168039	0	0.000175341	0.000141714	4.91E-05	0.000105605	3.30E-05	0.000178793	0.000133461	0.000229523	0.000113217	4.54E-05	4.83E-05	0.000170839	0.00024592	0.000256464	0	0.000278184	0.000204583	0.000180735	0.000488475	0.000168052	0.000188668	0.000213311	0.000137511	7.12E-05	0.000210101	0.000259292	0.000337774
K02066	K02066: putative ABC transport system permease protein	0.000187043	0	0.000173509	9.55E-05	3.25E-05	7.13E-05	3.34E-05	0.000166236	0.000126992	0.000197265	0.00011637	1.86E-05	0	0.000125593	0.000206289	0.000218314	0	0.000355638	0.000195596	0.000165035	0.000361867	0.000153317	0.00018193	0.000176969	0.000131952	6.54E-05	0.000180815	0.00033874	7.45E-08
K02067	K02067: putative ABC transport system substrate-binding protein	0.000128932	0	0.000146097	4.51E-05	4.78E-05	0.000108006	4.90E-05	0.00010547	5.92E-05	0.000158001	4.57E-05	2.65E-05	2.27E-05	6.31E-05	0.000126584	0.000182013	0	0.00018653	0.000130234	0.000132463	0.000118454	0.000116219	0.000117318	0.000127238	9.31E-05	3.61E-05	5.50E-05	0.000182566	0.00108346
K02068	K02068: putative ABC transport system ATP-binding protein	9.30E-05	0	0.000157067	4.49E-05	0.000207332	0.000127352	0.000158008	7.23E-05	6.76E-05	0.000124162	6.84E-05	5.96E-05	0.000133087	0.000132648	8.34E-05	0.000148897	0	0.000323739	0.00012894	9.58E-05	0.000102096	0.000107851	0.000109048	9.52E-05	0.000101997	7.53E-05	0.000139842	0.000146855	0.000358524
K02069	K02069: putative ABC transport system permease protein	0.000101442	0	0.000175548	0.000127206	0.000186581	0.000186469	0.000143914	9.15E-05	7.06E-05	0.000151109	5.60E-05	5.63E-05	6.42E-05	0.000159438	7.53E-05	0.000120603	0	0.000282643	0.000105946	0.000138434	0.00015873	0.000155267	9.86E-05	0.000172262	0.000124733	7.11E-05	6.74E-05	0.000195537	0.000823246
K02071	K02071: D-methionine transport system ATP-binding protein	0.000635123	0	0.000443842	0.000376804	0.000459872	0.000541621	0.000618662	0.000442541	0.000417064	0.000464224	0.000451736	0.000477385	0.000468245	0.000422089	0.000402842	0.000428034	0	0.000704602	0.000398633	0.000531719	0.000430955	0.000388439	0.000461445	0.000431918	0.000445308	0.000592544	0.000343243	0.000320199	0.000645991
K02072	K02072: D-methionine transport system permease protein	0.000687743	0	0.000628051	0.000529679	0.00074983	0.00081447	0.000701599	0.00063243	0.000674187	0.000633592	0.000664117	0.000751241	0.00088664	0.000565708	0.000682585	0.000613599	0	0.000792999	0.000497011	0.000644488	0.000420677	0.00057447	0.000581264	0.000618861	0.000625829	0.000603233	0.00051133	0.000496128	3.63E-07
K02073	K02073: D-methionine transport system substrate-binding protein	0.000654987	0	0.000628527	0.00052666	0.000566212	0.000777675	0.000647864	0.000493162	0.000557895	0.000553844	0.000635094	0.000596199	0.000636268	0.000493696	0.000539378	0.000555922	0	0.00115012	0.000449383	0.000574515	0.000415292	0.000471026	0.000487052	0.000539886	0.000480828	0.000659859	0.00032022	0.000417501	0.000684738
K02074	K02074: zinc/manganese transport system ATP-binding protein	4.18E-05	0	4.20E-05	2.42E-05	0.000134536	0.000115221	6.08E-05	4.40E-05	1.72E-05	1.96E-05	2.23E-05	1.60E-05	5.68E-05	5.67E-05	3.89E-05	3.17E-05	0	0.000164882	1.66E-05	2.46E-05	0	2.73E-05	1.87E-05	3.71E-05	4.30E-05	3.01E-05	0	6.46E-05	2.25E-05
K02075	K02075: zinc/manganese transport system permease protein	3.07E-05	0	3.49E-05	2.60E-05	0.000113378	0.000119678	6.62E-05	1.95E-05	2.76E-05	3.56E-05	1.46E-05	4.33E-05	5.99E-05	6.31E-05	3.87E-05	4.62E-05	0	0.000177938	8.63E-06	3.76E-05	0	2.90E-05	4.06E-05	3.80E-05	1.67E-05	3.24E-05	4.28E-05	5.30E-05	0.000232991
K02076	K02076: Fur family transcriptional regulator- zinc uptake regulator	0	0	2.26E-05	0	3.12E-05	3.13E-05	0	0	0	0	0	0	0	0	0	2.57E-05	0	0.000168377	3.49E-05	0	0	0	0	0	0	0	0	0	2.11E-05
K02077	K02077: zinc/manganese transport system substrate-binding protein	5.16E-05	0	7.98E-05	4.36E-05	0.000167672	0.000197567	8.51E-05	5.67E-05	3.11E-05	6.15E-05	6.83E-05	5.95E-05	0.000137316	0.000104913	4.44E-05	6.87E-05	0	0.000181371	1.45E-05	7.13E-05	3.36E-05	4.92E-05	5.85E-05	7.84E-05	5.87E-05	5.42E-05	1.50E-05	0.000122087	4.37E-05
K02078	K02078: acyl carrier protein	0.00249951	0	0.0024686	0.00297365	0.00239038	0.00285132	0.00259983	0.00186494	0.00220308	0.00258131	0.00217677	0.0024171	0.00218881	0.00214568	0.00197448	0.00224948	0	0.00230987	0.00298599	0.00263726	0.00203899	0.00268851	0.00298142	0.00283855	0.00272411	0.00278091	0.00269113	0.0023307	0.00170434
K02079	K02079: N-acetylgalactosamine-6-phosphate deacetylase	1.14E-05	0	8.48E-06	9.64E-06	1.17E-05	1.21E-05	2.40E-05	0	6.86E-06	5.10E-06	2.18E-05	6.39E-06	1.05E-05	5.45E-06	9.56E-06	4.90E-06	0	2.10E-05	6.54E-06	1.36E-05	0	0	0	1.11E-05	5.89E-06	1.22E-05	0	0	0.000174902
K02080	K02080: galactosamine-6-phosphate isomerase	3.66E-05	0	1.28E-05	1.57E-05	1.90E-05	1.83E-05	3.61E-05	1.56E-05	1.12E-05	1.64E-05	0	1.04E-05	1.65E-05	8.53E-06	7.51E-06	7.70E-06	0	3.42E-05	2.11E-05	2.10E-05	0	2.27E-05	1.55E-05	1.78E-05	2.88E-05	0	0	0	0
K02081	K02081: DeoR family transcriptional regulator- aga operon transcriptional	0.000220527	0	0.000238477	0.000303898	0.000242033	0.00023475	0.000319822	0.000241756	0.000162957	0.000287185	0.000225048	0.000295965	0.000262404	0.000306057	0.00026656	0.000279503	0	0.000281315	0.000253237	0.000181234	0.000245071	0.00022045	0.000231919	0.000279107	0.00019116	0.000215771	0.000138955	0.000229962	0
K02082	K02082: tagatose-6-phosphate ketose/aldose isomerase	6.77E-05	0	6.75E-05	8.62E-05	0.000104267	7.24E-05	0.000190173	4.23E-05	4.79E-05	7.09E-05	2.68E-05	5.14E-05	0.000239672	3.36E-05	5.13E-05	4.79E-05	0	0.000168508	8.47E-05	2.71E-05	8.14E-05	6.99E-05	2.90E-05	2.75E-05	7.36E-05	3.57E-05	7.80E-05	2.91E-05	0.000174869
K02083	K02083: allantoate deiminase	3.12E-05	0	3.15E-05	1.72E-05	1.05E-05	1.09E-05	2.15E-05	4.26E-06	1.25E-05	4.56E-06	0	5.72E-06	1.03E-05	0	4.43E-06	1.32E-05	0	5.84E-05	2.43E-05	0	0	6.59E-06	4.34E-06	0	0	2.19E-05	0	0	0
K02086	K02086: DNA replication protein	7.67E-05	0	8.46E-05	1.63E-05	7.70E-05	0.000143609	0.00020267	0	0	3.42E-05	1.73E-05	0	7.35E-05	3.70E-05	0	2.40E-05	0	0.000319777	4.25E-05	1.16E-05	0	2.36E-05	1.52E-05	9.37E-06	1.01E-05	1.98E-05	0	0	0
K02099	K02099: AraC family transcriptional regulator- arabinose operon regulatory	0.000508547	0	0.000553532	0.000616875	0.000781375	0.000629917	0.000685298	0.000416444	0.000505504	0.000453163	0.000427191	0.000538445	0.000611248	0.000446133	0.000351417	0.000452077	0	0.00048647	0.000401229	0.000561138	0.000414267	0.000622688	0.000436156	0.000459218	0.000603064	0.000655247	0.000639545	0.000383809	0.000567068
K02100	K02100: MFS transporter- SP family- arabinose:H+ symporter	3.66E-05	0	4.77E-05	1.57E-05	2.84E-05	9.71E-06	1.92E-05	7.90E-06	2.25E-05	2.09E-05	8.91E-06	2.03E-05	1.81E-05	9.37E-06	1.16E-05	7.58E-06	0	3.37E-05	1.06E-05	2.16E-05	2.27E-05	1.16E-05	0	8.97E-06	1.50E-05	2.85E-05	0	7.96E-06	0.000199684
K02101	K02101: arabinose operon protein AraL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-05	0
K02102	K02102: arabinose operon protein AraM	2.21E-05	0	0	3.74E-05	2.28E-05	2.37E-05	2.34E-05	1.39E-05	2.00E-05	1.49E-05	1.56E-05	2.47E-05	2.14E-05	3.85E-05	2.27E-05	1.40E-05	0	0	1.27E-05	1.97E-05	0	1.37E-05	2.36E-05	1.07E-05	0	3.51E-05	0	9.14E-06	0
K02103	K02103: GntR family transcriptional regulator- arabinose operon	0.000107069	0	0.000106257	0.000171384	0.000183519	0.000177643	5.00E-05	0.000119475	0.000136624	0.000128005	0.000129936	0.000174052	0.000160315	0.000166364	0.00011796	0.000125663	0	8.76E-05	0.000122812	0.000184665	5.77E-05	0.000147189	0.000131335	0.000155715	0.00014132	0.000188343	0.00016307	6.07E-05	0
K02106	K02106: short-chain fatty acids transporter	6.12E-05	0	1.47E-05	3.27E-05	1.00E-05	1.04E-05	2.06E-05	4.97E-05	2.35E-05	2.64E-05	2.80E-05	3.32E-05	9.41E-06	3.41E-05	2.85E-05	2.48E-05	0	1.81E-05	1.13E-05	5.79E-05	4.78E-05	2.41E-05	1.27E-05	2.86E-05	2.12E-05	0	0	3.36E-05	0
K02108	K02108: F-type H+-transporting ATPase subunit a	0.000783022	0	0.000786749	0.000897034	0.000950471	0.000858086	0.000564207	0.000867694	0.000898676	0.000857351	0.000837254	0.000852295	0.000905537	0.000727367	0.000857163	0.000926039	0	0.000505328	0.000762099	0.000942749	0.001069	0.000709811	0.000958904	0.000834612	0.000874188	0.000882433	0.00115506	0.000894012	0.000285209
K02109	K02109: F-type H+-transporting ATPase subunit b	0.00093986	0	0.000830702	0.00119669	0.00116365	0.00109277	0.000881307	0.000991869	0.00103862	0.00104773	0.000986504	0.001059	0.00120442	0.000855569	0.00104032	0.00111021	0	0.000730337	0.000810706	0.00120866	0.00110364	0.000953761	0.00103847	0.00102879	0.00105885	0.00110576	0.00106781	0.0010874	0
K02110	K02110: F-type H+-transporting ATPase subunit c	0.0018019	0	0.00163722	0.00200679	0.00233165	0.00218367	0.00208923	0.00177434	0.00188678	0.00192067	0.00180656	0.0019611	0.00206758	0.00159488	0.00178256	0.00194871	0	0.00127454	0.00177459	0.00196385	0.00157456	0.00203725	0.00195685	0.00190183	0.00188816	0.00202377	0.00166532	0.00159734	0
K02111	K02111: F-type H+-transporting ATPase subunit alpha	0.00064053	0	0.000556966	0.000611434	0.000590414	0.000596308	0.00048325	0.000600291	0.00067129	0.000622577	0.000668771	0.000643496	0.00075589	0.000476819	0.000664969	0.000639266	0	0.000579075	0.000504348	0.000695132	0.000634954	0.000451114	0.000598619	0.000570231	0.000565944	0.000640535	0.00085736	0.000510266	0.000870578
K02112	K02112: F-type H+-transporting ATPase subunit beta	0.000520152	0	0.000556983	0.000559478	0.000660075	0.000607915	0.000406983	0.000617482	0.000658127	0.000646247	0.000644159	0.000618049	0.000777311	0.000597212	0.000678982	0.000617303	0	0.000590377	0.00057208	0.00068948	0.000704894	0.000510019	0.000654375	0.000579888	0.000616514	0.000677526	0.000674808	0.000566282	0.00154496
K02113	K02113: F-type H+-transporting ATPase subunit delta	0.000951805	0	0.000797085	0.000973024	0.000948479	0.000894369	0.000955373	0.000810929	0.000812792	0.000930239	0.000812508	0.00087353	0.00102995	0.000635849	0.000746565	0.000805241	0	0.000808868	0.000778933	0.000926452	0.000875893	0.000786278	0.000857502	0.00083699	0.000813356	0.000994586	0.0010122	0.000702032	0.000385115
K02114	K02114: F-type H+-transporting ATPase subunit epsilon	0.00129782	0	0.000929137	0.00129747	0.00135294	0.00123038	0.00128338	0.00104124	0.0011328	0.00143519	0.00109481	0.00145888	0.00125527	0.00101016	0.00121916	0.00127834	0	0.00077328	0.00108919	0.00145897	0.000819119	0.00119828	0.00147283	0.00149275	0.00137508	0.00141735	0.00121198	0.00109175	0
K02115	K02115: F-type H+-transporting ATPase subunit gamma	0.000599764	0	0.000732307	0.000706758	0.00082513	0.000862803	0.00062181	0.00081031	0.000761689	0.000811538	0.000776607	0.000742729	0.000834425	0.000701708	0.00081435	0.000812333	0	0.000568929	0.00065481	0.000778782	0.000890692	0.000605985	0.000876835	0.000693387	0.000786017	0.000815863	0.00105242	0.000661178	0.000932382
K02116	K02116: ATP synthase protein I	0.000108578	0	5.01E-05	2.85E-05	6.91E-05	7.35E-05	7.08E-05	1.80E-05	4.26E-05	5.08E-05	2.04E-05	1.89E-05	0	0	4.92E-05	3.63E-05	0	0.00012434	4.19E-05	9.43E-05	0	2.43E-05	5.47E-05	2.08E-05	4.12E-05	4.51E-05	0	0	0
