ID,NAME,CSM5LLGB.kegg.e-40.m8-hit-keg-cat,CSM6J2H9.kegg.e-40.m8-hit-keg-cat,CSM79HGR.kegg.e-40.m8-hit-keg-cat,ESM5GEYX.kegg.e-40.m8-hit-keg-cat,ESM5GEYY.kegg.e-40.m8-hit-keg-cat,ESM5GEZ1.kegg.e-40.m8-hit-keg-cat,ESM5MEAB.kegg.e-40.m8-hit-keg-cat,ESM5MEB9.kegg.e-40.m8-hit-keg-cat,ESM5MEC7.kegg.e-40.m8-hit-keg-cat,ESM5MEDP.kegg.e-40.m8-hit-keg-cat,ESM5MEE2.kegg.e-40.m8-hit-keg-cat,ESM5MEEJ.kegg.e-40.m8-hit-keg-cat,ESM718U9.kegg.e-40.m8-hit-keg-cat,ESM7F5AE.kegg.e-40.m8-hit-keg-cat,HSM5MD6G.kegg.e-40.m8-hit-keg-cat,HSM5MD6S.kegg.e-40.m8-hit-keg-cat,HSM67VDR.kegg.e-40.m8-hit-keg-cat,HSM67VDT.kegg.e-40.m8-hit-keg-cat,HSM6XRQC.kegg.e-40.m8-hit-keg-cat,HSM6XRTE.kegg.e-40.m8-hit-keg-cat,HSM7CZ2X.kegg.e-40.m8-hit-keg-cat,HSM7J4JV.kegg.e-40.m8-hit-keg-cat,HSMA33J1.kegg.e-40.m8-hit-keg-cat,mock_even_lc-hit-keg-cat
K03674,K03674: glutaredoxin 1,0,0,0,0,7.75879e-05,8.89966e-05,0,0.00023264,0,0,0.000114018,0,0.00029282,0,0,0,0,0,0,0,0,0,0,0
K07082,K07082,0,0.000458073,0.000373684,0.000543048,0.000542618,0.000406682,0.000650444,0.000732598,0.000473421,0.000568147,0.000463152,0.000471755,0.000445252,0.00049372,0,0.000575587,0.000663401,0.000573397,0.000586783,0.000367275,0.000353753,0.00038957,0.000604468,0.000190184
K07083,K07083,0,0,5.76223e-05,4.52401e-05,0,0,0,0,3.0297e-05,0.000104623,0,0,0,3.32824e-05,0,4.67256e-05,3.98859e-05,0.00011821,0,6.34599e-05,0,0,4.38573e-05,0.000236652
K00759,K00759: adenine phosphoribosyltransferase,0.000983055,0.000443917,0.000715674,0.000706754,0.000746916,0.000690253,0.000710629,0.000660569,0.000699638,0.000693701,0.000941649,0.00080192,0.000440935,0.000759007,0,0.000626436,0.000731667,0.000628437,0.000553864,0.00102714,0.000497633,0.000512925,0.000805988,0.000417517
K00758,K00758: thymidine phosphorylase,0.000404919,0,3.63604e-05,4.29847e-05,9.02714e-05,7.0352e-05,0,2.37273e-05,2.00615e-05,0,0,2.38431e-05,0.000111026,2.24754e-05,0,0,0,0,0,0,3.42928e-05,0,0,0.000370329
K04885,K04885: potassium voltage-gated channel Shab-related subfamily B member 1,0,0,8.90257e-06,0,2.83938e-05,8.23692e-06,0,2.23643e-05,1.89517e-05,1.61642e-05,3.16582e-05,3.26447e-05,2.71014e-05,2.03235e-05,0,2.92284e-05,2.49499e-05,3.63804e-05,3.48227e-05,9.80447e-06,1.61979e-05,0,0,0
K07084,K07084,0,0,0.000136859,7.44097e-05,0.00010761,0.000211509,0.000248478,9.62252e-05,2.11074e-05,3.60056e-05,7.05181e-05,9.69543e-05,6.0368e-05,6.72797e-05,0,3.25529e-05,0.000135481,8.10368e-05,0,4.36786e-05,0.000106246,0.0001036,9.05479e-05,0.000154807
K07085,K07085,0,0.00128991,0.00121122,0.00100524,0.000909564,0.000347956,0.00136755,0.000948951,0.0010483,0.00156745,0.000627611,0.00132859,0.00123809,0.00126035,0,0.00106525,0.00108198,0.00125586,0.0011765,0.00103158,0.000793546,0.00137809,0.00100024,0.000123103
K00752,K00752: hyaluronan synthase,0,0,0,0,0,0,8.62781e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07088,K07088,0,0,0.000553597,0.000638401,0.000485936,0.00106207,0.000808071,0.000600001,0.000458452,0.000290956,0.00141712,0.000753834,0.0001588,0.000336584,0,0.000847518,0.000490674,0.000396927,0.000604031,0.000701592,0.000819972,0.000805493,0.000960285,0.000205496
K07089,K07089,0,0,0.000481751,0.000262178,0.000260894,0.000336921,0.000179157,0.000296744,0.000276092,0.000368931,0.00043586,0.00025258,0.000185899,0.000403902,0,0.000259872,0.00024151,0.000160542,0.00025832,0.000281823,0.000241276,0.000131702,0.000310941,1.93216e-07
K00757,K00757: uridine phosphorylase,0.000605991,0.00203353,0.00050535,0.000613888,0.0006056,0.000464816,0.000655239,0.000653772,0.000650026,0.000642191,0.000597612,0.000539596,0.000460807,0.000740227,0,0.000481436,0.000586763,0.000729309,0.000698775,0.000519569,0.000509972,0.000953277,0.000619765,1.99754e-05
K00756,K00756: pyrimidine-nucleoside phosphorylase,0.00039764,0.000182068,0.000134278,0.000215131,0.000169055,0.000212633,0.000205588,9.58943e-05,0.000182355,3.41446e-05,0.000294669,0.000186271,0,8.76919e-05,0,9.27505e-05,0.000108219,2.56162e-05,0.000225076,0.000147118,0.000210741,0.000154304,0.000175717,0.000243053
K00754,K00754,0.000993781,0.000234472,0.00348421,0.00295592,0.00268292,0.00251369,0.00293756,0.00297179,0.00386076,0.00394957,0.0042197,0.00469361,0.00158166,0.00399734,0,0.00370495,0.00351253,0.00395746,0.00201295,0.00360273,0.00229376,0.00279005,0.00264149,0.000617284
K10907,K10907: aminotransferase,0.000900878,0,0.000513223,0.000431924,0.000426808,0.00057143,0.000274138,0.000373115,0.00027176,0.000234492,0.000534908,0.000471835,0.000194682,0.000462319,0,0.000350724,0.00032717,0.000290666,8.3717e-05,0.000563016,0.000543335,0.000287779,0.000726211,0.000192617
K06001,K06001: tryptophan synthase beta chain,0,0.000521773,0.000463361,0.000493257,0.00035419,0.000227661,0.000360143,0.000323185,0.000433294,0.00044297,0.000176893,0.000362343,0.000399773,0.00038326,0,0.00030452,0.000542046,0.000476088,0.000368832,0.00042724,0.000304961,0.000350273,0.000341637,0
K07570,K07570: general stress protein 13,0,0,0,0,0,0,0,0,0,0,7.08539e-05,0,0,0,0,0,8.37603e-05,0,0,0,0,0,0,0
K07571,K07571: S1 RNA binding domain protein,0,0,5.85204e-05,8.2078e-05,0,0.000311181,0.000221198,6.48839e-05,5.49834e-05,0.000193755,0.000197047,0.000272183,0,0.000120589,0,0.000169597,7.28352e-05,7.03653e-05,0,0.000244059,0,0.000131171,0.000401712,0.000427635
K07576,K07576: metallo-beta-lactamase family protein,0.000663977,0.00073392,0.000366348,0.000331303,0.000175878,0.000302527,0.000171504,0.000274867,0.000265988,0.000173693,0.000487445,0.0002133,0.000149758,0.000181501,0,0.000256859,0.000178262,0.000266368,6.12984e-05,0.000231534,0.000142373,0.00029334,0.000447362,0
K10901,K10901: bloom syndrome protein,0,0,7.03819e-06,8.14548e-06,4.86693e-06,0,0,0,0,1.97073e-05,0,6.63337e-06,0,6.19458e-06,0,0,7.6047e-06,0,0,0,0,1.46313e-05,1.34173e-05,0
K07574,K07574: putative RNA-binding protein containing KH domain,0,0,0.000165381,0.000642848,0.000196533,0.00114513,0.000167449,0.000426147,0.000260462,0.000158274,0.000491052,0.000106549,0,0.000350857,0,0.000286195,0.000541958,0,0.000282184,0.000177857,0.000313972,0,0.000131572,0
K10900,K10900: werner syndrome ATP-dependent helicase,0,0,0,0,1.08649e-05,7.99865e-06,0,1.08587e-05,9.20176e-06,1.56966e-05,2.0495e-05,3.17004e-05,0,9.8678e-06,0,1.41914e-05,1.21141e-05,1.1776e-05,0,2.33798e-05,0,4.66145e-05,1.33203e-05,0
K10909,K10909: two-component system autoinducer 2 sensor kinase/phosphatase LuxQ,0,0,0,0,0,9.01362e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05943e-05
K10908,K10908: DNA-directed RNA polymerase mitochondrial,0,0,0,0,0,8.97186e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33094e-05,0,0,0
K11189,K11189: phosphocarrier protein,0.00823131,0.000908246,0.00136053,0.000797502,0.000545371,0.00167947,0.00105418,0.000904861,0.00133119,0.000700717,0.00208332,0.000953065,0.00105212,0.000776305,0,0.00144724,0.00137175,0.000537892,0,0.000850101,0.00150023,0.00104657,0.00149426,0.000932105
K06379,K06379: stage II sporulation protein AB (anti-sigma F factor),0,0,0.000225096,0.000499843,0.000258995,0.000508672,0.00023223,0.000271797,0.000348877,0.000201967,0.000702762,0.000395114,0,0.000126498,0,0.000433759,0.000306896,0.000142938,0,0.000185175,0.00019934,0.000295539,0.000671725,0
K06957,K06957,0,0,0,9.41556e-06,2.02892e-05,8.24661e-05,5.50909e-05,1.62965e-05,5.30988e-05,0,0,0,3.79662e-05,0,0,0,1.78757e-05,0,4.87829e-05,0,6.80745e-05,0,0,0.000316115
K09817,K09817: zinc transport system ATP-binding protein,0,0.000606067,0.000389262,0.000566307,0.000476963,0.000627976,0.000577421,0.000537782,0.000694256,0.000779451,0.000564425,0.00068623,0.000291568,0.000489493,0,0.00069721,0.000595758,0.00074736,0.000878894,0.00054571,0.000606321,0.000350353,0.000570416,0.000154802
K09816,K09816: zinc transport system permease protein,0,0,0.000681997,0.000589401,0.00070565,0.00051361,0.000790118,0.000666518,0.000427676,0.000835147,0.000323908,0.000527118,0.000557836,0.000529397,0,0.000398559,0.000565134,0.000667922,0.000962899,0.000508545,0.000611434,0.000504448,0.000561746,0.000230275
K09815,K09815: zinc transport system substrate-binding protein,0,0,0.000323628,0.000349017,0.000480387,0.000464766,0.000337336,0.000427283,0.000576592,0.000440198,0.000242999,0.000393214,0.00062792,0.000398152,0,0.000398724,0.000485344,0.000417195,0.000799311,0.000475128,0.000338363,0.000366834,0.000533385,0.000477171
K06374,K06374: spore maturation protein B,0,0,0.000521473,0.000358066,0.000113747,0.000355236,0.000201896,0.000298344,0.000151576,8.7324e-05,0.000339506,0.000290631,0.000144746,0.000269567,0,7.89504e-05,0.000199934,6.3329e-05,0.000372018,0.000260972,0.000257156,0.000126042,0.000292633,0
K11180,K11180: sulfite reductase dissimilatory-type alpha subunit,0,0.000166703,0,0,1.5269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94435e-05,0,0,0,0
K09812,K09812: cell division transport system ATP-binding protein,0,0.000693134,0.000903399,0.000851687,0.000775026,0.000774532,0.000787636,0.000675471,0.000696137,0.000698629,0.000786702,0.000804011,0.000645806,0.000528805,0,0.000698334,0.000664509,0.000810269,0.0012848,0.000637204,0.000832115,0.000774863,0.000913626,0.000279961
K09811,K09811: cell division transport system permease protein,0,0.000269685,0.00084812,0.000593392,0.000447818,0.000637276,0.000667256,0.000597338,0.000651623,0.000465559,0.000830921,0.000516701,0.000426657,0.000418802,0,0.00069721,0.000713559,0.000580915,0.000544413,0.000649232,0.000550757,0.000532653,0.000781597,0.000475289
K09810,K09810: lipoprotein-releasing system ATP-binding protein,0,0.00100073,0.000884053,0.000604491,0.000587857,0.000537866,0.000712285,0.0010565,0.000706159,0.00108244,0.000602977,0.000951131,0.000677978,0.000849187,0,0.000661357,0.000882235,0.000994257,0.00132874,0.000726938,0.000468507,0.000399945,0.000621771,0.000233794
K07470,K07470: DNA gyrase inhibitor,0,0,0,0,0.000128598,9.86333e-05,0,0,5.74666e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K06006,K06006: periplasmic protein CpxP,0.000941223,0,0,0,3.99554e-05,0,0,0,0.000105416,0,0,0,0.000151639,0,0,0,0,0,0,0,8.95646e-05,0,0,0
K10763,K10763: DnaA-homolog protein,0,0,0,0,7.30679e-05,9.52493e-05,0,4.41647e-05,6.95291e-05,0,4.29418e-05,0,9.61332e-05,0,0,0,4.96884e-05,4.78957e-05,0.000137535,0,5.74567e-05,0,0,0.000293508
K10762,K10762: putative replication protein,0,0,0,0,5.39216e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273391
K10760,K10760: adenylate isopentenyltransferase (cytokinin synthase),0.000526637,0,0,0,0,0,0,3.12835e-05,2.651e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K01938,K01938: formate--tetrahydrofolate ligase,0.000317114,0.00100153,0.000496044,0.000675348,0.000527481,0.000487234,0.000485001,0.000529672,0.00056,0.000545927,0.000676679,0.000588405,0.000320323,0.000516373,0,0.000566887,0.000483995,0.000552202,0.000478854,0.000580661,0.000411693,0.000768189,0.000790738,0.000872787
K01939,K01939: adenylosuccinate synthase,0.00083664,0.00168653,0.000997018,0.00102746,0.000654616,0.000705798,0.000841459,0.000904749,0.000812773,0.000785775,0.000849309,0.000719912,0.000717946,0.000670694,0.107574,0.00070617,0.000795058,0.000746102,0.000877274,0.000756928,0.000814251,0.0012604,0.00114149,0.000785057
K11161,K11161: retinol dehydrogenase 13,0,0,0,1.8803e-05,4.40941e-05,4.62942e-05,0,3.80841e-05,8.55304e-05,0.000100544,3.59404e-05,3.06249e-05,7.60459e-05,6.32079e-05,0,9.09028e-05,7.75964e-05,7.54308e-05,9.77118e-05,3.3392e-05,0,0,0,0
K01934,K01934: 5-formyltetrahydrofolate cyclo-ligase,0,0,0.000400263,0.000299384,0.000574167,0.000451765,0.000486075,0.000488932,0.000435867,0.000577705,0.00037033,0.000493628,0.000397199,0.000516774,0,0.000596696,0.000507406,0.000735403,0.000517471,0.000598639,0.000477545,0.000727703,0.00027773,0
K01935,K01935: dethiobiotin synthetase,0,0,0.000535976,0.000404715,0.000451725,0.000371483,0.000577666,0.000422171,0.000562476,0.000563945,0.000436775,0.000518712,0.000714295,0.000482379,0,0.000380943,0.000537536,0.000584758,0.000591249,0.000378801,0.000553317,0.000210855,0.000234235,0.000642805
K01937,K01937: CTP synthase,0,0.000586188,0.000727918,0.000717435,0.000657632,0.000501009,0.000494274,0.000738882,0.000574449,0.000806509,0.000712596,0.000761034,0.00027816,0.000565334,0,0.000503002,0.000522415,0.000570623,0.000488599,0.000677982,0.000535279,0.00103837,0.000711857,0.00112328
K01930,K01930: folylpolyglutamate synthase,0,0,1.94614e-05,0,0,0,0,0,1.55995e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99862e-05,0
K01932,K01932,0,0,1.6637e-05,0.000114213,2.70145e-05,8.66341e-05,3.62693e-05,4.25556e-05,5.38057e-05,0,0.000120121,2.07058e-05,0,5.80084e-05,0,5.47305e-05,9.49511e-05,6.92259e-05,6.62619e-05,3.70154e-05,0.000153067,4.56709e-05,0,0.000274751
K01933,K01933: phosphoribosylformylglycinamidine cyclo-ligase,0,0.00129656,0.000661837,0.000661035,0.000699831,0.000750444,0.000685509,0.000817267,0.000561324,0.000751277,0.000708124,0.000668666,0.000543546,0.000677432,0,0.000572878,0.000607816,0.000748694,0.000905949,0.000661253,0.000552637,0.000680801,0.000871114,0.000196057
K00356,K00356: NADH dehydrogenase,0,0,0,0,7.25277e-05,4.20799e-05,0,5.71261e-05,3.60621e-05,0,0,0,0.000103139,0,0,0,6.37307e-05,1.99636e-05,0,2.05719e-05,0,0.000122616,7.00764e-05,0.000302912
K00355,K00355: NAD(P)H dehydrogenase (quinone),0,0,0,5.50609e-05,6.096e-05,4.11847e-05,0,0,0,0,0,0,0,4.75226e-05,0,0,0,0,0.000174114,0,0,0,0,0.000247699
K00354,K00354: NADPH2 dehydrogenase,0,0,0,0,1.80339e-05,0,0,0,0,0,0,0,0,0,0,0,3.16931e-05,0,0,5.00881e-05,0,0,0,0
K00353,K00353,0,0,0.000102054,5.10583e-05,0.000108497,6.29488e-05,7.28336e-05,8.54569e-05,0.000108626,0.000123531,0.00012097,8.31598e-05,0.000103558,7.76588e-05,0,0.000111686,9.5337e-05,9.26763e-05,0.000133063,0.000149857,0.000123789,9.17133e-05,5.2415e-05,0
K01169,K01169: ribonuclease I (enterobacter ribonuclease),0,0,0,0,2.48976e-05,5.82192e-05,0,3.9221e-05,3.32363e-05,0,0,0,9.50572e-05,0,0,0,0,0,0,0,0.000112383,0,0,0
K00351,K00351: Na+-transporting NADH:ubiquinone oxidoreductase subunit F,0.00041832,0.000186802,0.000463447,0.000238575,0.000292613,7.38436e-05,0.000305716,0.000252511,0.000273455,0.000438483,0.000145627,0.000265372,0.000301126,0.000158574,0,0.000392661,0.000372287,0.000350274,0.000154767,0.000354884,0.000148746,0.000221906,0.000243932,0
K00350,K00350: Na+-transporting NADH:ubiquinone oxidoreductase subunit E,0.000850717,0.00037989,0.00028503,0.00024153,0.000498217,0.000115434,0.000539989,0.000464462,0.000435521,0.000588274,0.000196466,0.00035114,0.000379804,0.000374791,0,0.00060497,0.000520551,0.000661429,0.00016532,0.00049984,0.000226188,0.000446957,0.000381336,0.000316918
K07796,K07796: Cu(I)/Ag(I) efflux system outer membrane protein CusC,0,0,8.67011e-05,7.47023e-05,6.82193e-05,3.24326e-05,7.25389e-05,0.00011098,0.000106833,9.52772e-05,8.22814e-05,0.000128279,0.000110283,0.000100898,0,8.67093e-05,7.35316e-05,0.000144116,6.62619e-05,9.64825e-05,0.00016076,9.67357e-05,5.52853e-05,6.65425e-05
K07797,K07797: multidrug resistance protein K,0,0,0,0,1.72417e-05,2.0007e-05,0,0,2.30163e-05,0,0,0,0.000131655,0,0,0,0,0,0,0,7.86873e-05,0,0,6.00148e-05
K07795,K07795: putative tricarboxylic transport membrane protein,0,0,0,1.80465e-05,0,4.39927e-05,0,0,0,4.31658e-05,0,0,7.32051e-05,0,0,0,0,0,0,2.64834e-05,0,0,0,0
K07792,K07792: anaerobic C4-dicarboxylate transporter DcuB,0,0,3.75283e-05,6.74517e-05,0.000174959,0.000107159,0.000152533,0.00015485,0.00011949,3.38404e-05,3.99658e-05,8.68089e-05,0.000113356,9.87383e-05,0,9.33948e-05,0.0002745,7.61639e-05,0,5.76902e-05,0.00019752,9.06085e-05,8.71975e-05,0.000176593
K07793,K07793: putative tricarboxylic transport membrane protein,0,0,0.00018061,0.000210518,0.000357748,0.000399594,0.00021265,0.000124008,0.000370813,6.06584e-05,0.000431951,0.000344477,0.000100636,0.000112654,0,0.000166565,0.000279909,0.000112882,6.59947e-05,0.000272092,0.000273377,0.000181218,0.000306487,0
K00359,K00359: NADH oxidase,0,0,0.000202301,0.000232839,0.000188641,0.000255426,0.000333855,0.000252814,0.000246117,0.000194585,0.000145736,0.000303483,0.000301255,0.00037104,0,0.000226564,0.000299917,0.00033939,0.00018474,0.000257662,0.00028983,0.000166767,0.000211171,0.000233765
K07791,K07791: anaerobic C4-dicarboxylate transporter DcuA,0,0.000530366,0.000112712,0.000211692,0.000426018,0.00028233,0.000396828,0.000308527,0.000221016,0.000306634,0.000270124,0.000276205,0.000518685,0.000257603,0,0.000185025,0.000265167,0.000230161,0.000906547,0.000268101,0.000205389,0.000201352,0.000320939,0.000285003
K07150,K07150,0,0,7.2314e-05,0.000213178,0.000393183,0.00012934,0.00015185,0.000307558,0.000223663,0.000130279,0.000291045,0.000260966,0,0.000203735,0,5.70015e-05,9.73302e-05,4.72996e-05,0.00027507,7.66503e-05,0.000321276,0,0.000163837,0
K00688,K00688: starch phosphorylase,0.000871838,0.00103401,0.000977178,0.00117214,0.000759359,0.000580964,0.000770669,0.00107635,0.000727789,0.000732206,0.00097398,0.00102509,0.000718209,0.000790191,0,0.000692904,0.000806045,0.000803697,0.000882392,0.000802414,0.00057358,0.000934868,0.00108237,0.000421176
K07152,K07152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304079
K07153,K07153,0,0,0,0,3.11802e-05,0,8.78286e-05,0,8.30524e-05,0,0,0,0.000119044,0,0,0,0,0,0,0,7.11496e-05,0,0,0.000326674
K07154,K07154,0.000420308,0.000545406,0.00168,0.000734059,0.000805227,0.000451226,0.000962905,0.00134155,0.00115856,0.00164086,0.00061981,0.000611826,0.001038,0.00128601,0,0.00116243,0.00104385,0.00102957,0.000632875,0.000726006,0.000634495,0.00113769,0.000831191,0.000155863
K07156,K07156,0,0,0,4.98427e-05,0.000105497,6.24411e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07406,K07406: alpha-galactosidase,0.000363346,0.000182911,0,0.000151713,9.13501e-05,0.000136546,7.50889e-05,0.000115188,0.000139693,3.39918e-05,0.000148693,0,0.000114774,7.95736e-05,0,3.06637e-05,5.33022e-05,0,7.2259e-05,0.000101999,0.000138142,0,2.98474e-05,0
K07407,K07407: alpha-galactosidase,0.000458419,0.000107507,0.00131924,0.00132329,0.000721701,0.000588679,0.000522841,0.00104054,0.000835463,0.00100336,0.0007402,0.00107573,0.000726614,0.00114159,0,0.000913929,0.000907202,0.00116722,0.000966922,0.000805735,0.000500432,0.00108079,0.000735212,0
K00683,K00683: glutaminyl-peptide cyclotransferase,0,0,7.67333e-05,1.65268e-05,2.60646e-05,0,0,0,3.3868e-05,0.000218044,0,0,0,3.73126e-05,0,8.98122e-05,3.08591e-05,0.000160963,0,6.02539e-05,0,0,3.39317e-05,0
K07405,K07405: alpha-amylase,0.00151248,0.000887234,0.000419962,0.000253494,0.000219862,4.99921e-05,0.00027015,0.000227272,0.000356471,0.000548898,8.63851e-05,0.000243303,0.000459837,0.000339471,0,0.000339568,0.000233336,0.000410928,0.000141703,0.000375115,0.000165553,0.000308741,0.000322899,0
K07402,K07402: xanthine dehydrogenase accessory factor,0.00139726,0,4.71318e-05,0.000219876,0.000304864,0.000513902,0.000117537,0.000364216,0.000297046,0.000269167,0.000564433,0.000337728,0.000145301,0.000168393,0,0.00038191,0.000294893,7.42644e-05,0.000502668,8.93937e-05,0.000385725,0.000238359,0.000500691,6.87775e-06
K00358,K00358,0,0,0.000324539,0.000241593,0.000471887,0.000131077,0.000488904,0.000345136,0.000438382,0.000414609,0.00027575,0.000563155,0.000410284,0.000578094,0,0.000377588,0.000576232,0.000687614,0.000177899,0.00040934,0.000424985,0.000129664,0.000421918,0.000251904
K07400,K07400: Fe/S biogenesis protein NfuA,0,0,0,3.27093e-05,3.4753e-05,4.03267e-05,9.33181e-05,5.4746e-05,0,0,5.16645e-05,0,0.000132684,0,0,0,0,0,0,0,0.000156616,0,0,0
K07401,K07401: selenoprotein W-related protein,0,0,0,5.70924e-05,6.06595e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12813,K12813,0,0,0,0,0,5.80849e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67298e-06,0
K03839,K03839: flavodoxin I,0,0,0.000594272,0.000485329,0.000776215,0.000220089,0.000630674,0.000692815,0.000735219,0.000724651,0.00041297,0.000850971,0.000870556,0.000680287,0,0.000818223,0.000637091,0.000947585,0.000576652,0.000660032,0.000540668,0.000402088,0.000383785,0.000308348
K09819,K09819: manganese/iron transport system permease protein,0,0,5.83166e-05,0,4.76909e-05,0,0,0,0,0.000105884,0,0,8.87642e-05,3.32824e-05,0,0,0,3.97185e-05,0,3.21123e-05,5.30524e-05,0,0,2.60713e-06
K00968,K00968: choline-phosphate cytidylyltransferase,0,0,0.00028173,0.000157362,7.36556e-05,6.86715e-05,0.000319691,9.11206e-05,0.000116717,0.000165409,0.000129981,0.000224261,0.000286313,0.000281246,0,6.09195e-05,0.000255313,0.000333897,0,0.000142604,9.82324e-05,0,0.000111777,0
K06378,K06378: stage II sporulation protein AA (anti-sigma F factor antagonist),0,0,0,0,6.0113e-05,0.000139508,0.000129833,0,0,0,0,0,0,0,0,9.95458e-05,0,0,0,0,0,0,0,0
K00969,K00969: nicotinate-nucleotide adenylyltransferase,0,0,0.000631712,0.000470674,0.000589157,0.000608648,0.000623091,0.000618801,0.000479684,0.000541105,0.00049775,0.000876718,0.000851392,0.000575996,0,0.00054412,0.000710686,0.000676914,0.000971632,0.000641725,0.000587301,0.000437341,0.000646837,0.00102734
K11184,K11184: catabolite repression HPr-like protein,0,0,9.8452e-05,7.38844e-05,0,9.10907e-05,0,0,0.000104792,0,0.000116701,0,0,0.000112377,0,0,0,0,0,0,0.00017913,0,0,0
K05833,K05833: putative ABC transport system ATP-binding protein,0,0.000299309,0.000506748,0.000599621,0.000628191,0.000764299,0.000403557,0.000509127,0.000574541,0.000227102,0.000936683,0.000498077,0.000195623,0.00032724,0,0.000566711,0.000531368,0.000254238,0.000374879,0.000487408,0.000577744,0.00102988,0.000725476,0.000618833
K05832,K05832: putative ABC transport system permease protein,0,0.000261648,0.000352395,0.000516756,0.000290065,0.000661699,0.000229353,0.00041703,0.000440443,0.000343805,0.00081774,0.000499697,0,0.000283704,0,0.000489306,0.000530362,0.000338909,0.000341823,0.000244202,0.000454161,0.00101919,0.000588483,0.000429603
K05835,K05835: threonine efflux protein,0,0,0,0,0.000125908,7.23618e-05,8.61394e-05,4.91178e-05,4.32393e-05,0,0,0,0.000119044,0,0,0,5.69245e-05,0,0.00015296,0,7.32019e-05,0,0,0
K05834,K05834: homoserine/homoserine lactone efflux protein,0,0,0,0,0.000162073,7.53552e-05,0,5.10252e-05,4.54456e-05,0,0,4.9896e-05,0.000123666,0,0,0,0,0,0,0,7.39126e-05,0,0,0
K05837,K05837: rod shape determining protein RodA,0,0.000372662,0.000672719,0.000720375,0.000575516,0.000429282,0.000492263,0.000623811,0.000540622,0.000827562,0.000636918,0.000817903,0.000915033,0.000746546,0,0.00065808,0.000804617,0.000707025,0.00102152,0.000634149,0.000435833,0.000911568,0.000770103,0.000220347
K05836,K05836: GntR family transcriptional regulator histidine utilization,0,0,0,2.71869e-05,0.00013604,0,0,0,3.72692e-05,0,0,0,0,0,0,0,0,0,0.000134153,0,0,0,0,0
K05839,K05839: haemolysin expression modulating protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227254,0,0,0
K05838,K05838: putative thioredoxin,0,0,0,2.19587e-05,4.5886e-05,7.89743e-05,0,0.000101822,5.87943e-05,5.09879e-05,0,0,0.000259844,0,0,0,0,0,0,8.0702e-05,0.000103864,0,0,0.000333083
K04769,K04769: AbrB family transcriptional regulator stage V sporulation protein T,0,0,0.000423978,0.000386428,0.000183129,0.000612953,0.000297523,0.000291336,0.000303097,8.44132e-05,0.000558594,0.00028413,0,0.000105551,0,0.000380342,0.000398993,0.000198226,0,0.000204817,0.000434447,0.000269044,0.000655229,0
K06375,K06375: stage 0 sporulation protein B (sporulation initiation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037253
K01808,K01808: ribose 5-phosphate isomerase B,0.00119561,0.000533902,0.00130792,0.00109389,0.000911132,0.000948669,0.000871109,0.000965667,0.000857063,0.00105749,0.00114888,0.00112505,0.000695902,0.000834271,0,0.00138959,0.000965935,0.00117409,0.000904643,0.00129595,0.0010157,0.00121628,0.00132566,0.000440012
K00532,K00532: ferredoxin hydrogenase,0.000254238,0.000454124,7.45712e-05,8.43542e-05,9.78073e-05,0.000142377,0.000117222,8.33595e-05,0.000102383,6.99045e-05,9.34031e-05,9.99125e-05,3.66025e-05,0.000158516,0,0.000118425,0.000131391,3.27564e-05,9.40616e-05,0.000193234,8.7506e-05,6.48318e-05,0.000107422,0.000232485
K02116,K02116: ATP synthase protein I,0,0,0,0,5.13274e-05,0.000251314,0.000175657,0,0,0,0,0,0.000195964,0,0,0,0,0,0,0,0.000117123,0,0,0
K00537,K00537: arsenate reductase,0,0.000675363,0.000494108,0.000520761,0.000755956,0.000630182,0.000299872,0.000528072,0.000376192,0.000254303,0.000333704,0.000348228,0.000812138,0.000323832,0,0.000231891,0.000484817,0.000384005,0.000279773,0.000540873,0.000641934,0.000189592,0.000214901,1.13741e-07
K00534,K00534: ferredoxin hydrogenase small subunit,0,0,0,0,0,0,0,0,0,0,0,0,0.000207116,0,0,0,0,0,0,0,0,0,0,0
K11127,K11127: telomerase protein component 1,0,0,0,2.58443e-06,0,0,0,0,0,0,0,4.20932e-06,0,0,0,5.65322e-06,0,0,0,0,0,0,0,0
