Gene	Category	SuperPathway	SubPathway	KOAnnot
K01442	Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	E3.5.1.24; choloylglycine hydrolase
K01443	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	nagA AMDHD2; N-acetylglucosamine-6-phosphate deacetylase
K01444	Metabolism	Glycan biosynthesis and metabolism	Other_glycan_degradation	AGA aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase
K01448	Human Diseases	Drug resistance	Cationic_antimicrobial_peptide_CAMP_resistance	E3.5.1.28B amiA amiB amiC; N-acetylmuramoyl-L-alanine amidase
K01450	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	def; formylmethionine deformylase
K01451	Metabolism	Amino acid metabolism	Phenylalanine_metabolism	hipO; hippurate hydrolase
K01452	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	E3.5.1.41; chitin deacetylase
K01455	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E3.5.1.49; formamidase
K01456	Genetic Information Processing	Folding sorting and degradation	Protein_processing_in_endoplasmic_reticulum	E3.5.1.52 NGLY1 PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
K01457	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E3.5.1.54; allophanate hydrolase
K01458	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E3.5.1.68; N-formylglutamate deformylase
K01460	Metabolism	Metabolism of other amino acids	Glutathione_metabolism	gsp; glutathionylspermidine amidase/synthetase
K01464	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	DPYS dht hydA; dihydropyrimidinase
K01465	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	URA4 pyrC; dihydroorotase
K01466	Metabolism	Nucleotide metabolism	Purine_metabolism	allB; allantoinase
K01467	Environmental Information Processing	Signal transduction	Two-component_system	ampC; beta-lactamase class C
K01468	Metabolism	Amino acid metabolism	Histidine_metabolism	hutI AMDHD1; imidazolonepropionase
K01469	Metabolism	Metabolism of other amino acids	Glutathione_metabolism	OPLAH OXP1 oplAH; 5-oxoprolinase (ATP-hydrolysing)
K01470	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E3.5.2.10; creatinine amidohydrolase
K01473	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	hyuA; N-methylhydantoinase A
K01474	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	hyuB; N-methylhydantoinase B
K01476	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E3.5.3.1 rocF arg; arginase
K01477	Metabolism	Nucleotide metabolism	Purine_metabolism	alc ALLC; allantoicase
K01478	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E3.5.3.6 arcA; arginine deiminase
K01479	Metabolism	Amino acid metabolism	Histidine_metabolism	hutG; formiminoglutamase
K01480	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E3.5.3.11 speB; agmatinase
K01483	Metabolism	Nucleotide metabolism	Purine_metabolism	allA; ureidoglycolate lyase
K01484	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	astB; succinylarginine dihydrolase
K01485	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	codA; cytosine deaminase
K01486	Metabolism	Nucleotide metabolism	Purine_metabolism	ade; adenine deaminase
K01487	Metabolism	Nucleotide metabolism	Purine_metabolism	E3.5.4.3 guaD; guanine deaminase
K01488	Metabolism	Nucleotide metabolism	Purine_metabolism	add ADA; adenosine deaminase
K01489	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	cdd CDA; cytidine deaminase
K01490	Metabolism	Nucleotide metabolism	Purine_metabolism	AMPD; AMP deaminase
K01491	Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase
K01492	Metabolism	Nucleotide metabolism	Purine_metabolism	E2.1.2.3; phosphoribosylaminoimidazolecarboxamide formyltransferase
K01493	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	comEB; dCMP deaminase
K01494	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	dcd; dCTP deaminase
K01495	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	GCH1 folE; GTP cyclohydrolase I
K01496	Metabolism	Amino acid metabolism	Histidine_metabolism	hisI; phosphoribosyl-AMP cyclohydrolase
K01497	Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	ribA RIB1; GTP cyclohydrolase II
K01498	Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase
K01499	Metabolism	Energy metabolism	Methane_metabolism	mch; methenyltetrahydromethanopterin cyclohydrolase
K01501	Metabolism	Energy metabolism	Nitrogen_metabolism	E3.5.5.1; nitrilase
K01502	Metabolism	Xenobiotics biodegradation and metabolism	Styrene_degradation	E3.5.5.7; aliphatic nitrilase
K01505	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase
K01507	Metabolism	Energy metabolism	Oxidative_phosphorylation	ppa; inorganic pyrophosphatase
K01509	Metabolism	Nucleotide metabolism	Purine_metabolism	ENTPD2; adenosinetriphosphatase
K01510	Metabolism	Nucleotide metabolism	Purine_metabolism	ENTPD1_3_8; apyrase
K01511	Metabolism	Nucleotide metabolism	Purine_metabolism	ENTPD5_6; ectonucleoside triphosphate diphosphohydrolase 5/6
K01512	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	acyP; acylphosphatase
K01513	Metabolism	Carbohydrate metabolism	Starch_and_sucrose_metabolism	ENPP1_3; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3
K01514	Metabolism	Nucleotide metabolism	Purine_metabolism	PRUNE PPX1; exopolyphosphatase
K01515	Metabolism	Nucleotide metabolism	Purine_metabolism	nudF; ADP-ribose pyrophosphatase
K01517	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	ADPRM; manganese-dependent ADP-ribose/CDP-alcohol diphosphatase
K01518	Metabolism	Nucleotide metabolism	Purine_metabolism	NUDT2; bis(5'-nucleosidyl)-tetraphosphatase
K01519	Metabolism	Nucleotide metabolism	Purine_metabolism	ITPA; inosine triphosphate pyrophosphatase
K01520	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	dut DUT; dUTP pyrophosphatase
K01521	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	cdh; CDP-diacylglycerol pyrophosphatase
K01522	Metabolism	Nucleotide metabolism	Purine_metabolism	FHIT; bis(5'-adenosyl)-triphosphatase
K01523	Metabolism	Amino acid metabolism	Histidine_metabolism	hisE; phosphoribosyl-ATP pyrophosphohydrolase
K01524	Metabolism	Nucleotide metabolism	Purine_metabolism	ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate3'-diphosphate pyrophosphatase
K01525	Metabolism	Nucleotide metabolism	Purine_metabolism	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
K01528	Cellular Processes	Transport and catabolism	Endocytosis	DNM; dynamin GTPase
K01535	Metabolism	Energy metabolism	Oxidative_phosphorylation	E3.6.3.6; H+-transporting ATPase
K01538	Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	FXYD2 ATP1G1; sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
K01539	Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	ATP1A; sodium/potassium-transporting ATPase subunit alpha
K01540	Environmental Information Processing	Signal transduction	cAMP_signaling_pathway	ATP1B; sodium/potassium-transporting ATPase subunit beta
K01541	Metabolism	Energy metabolism	Oxidative_phosphorylation	E3.6.3.10; H+/K+-exchanging ATPase
K01542	Metabolism	Energy metabolism	Oxidative_phosphorylation	ATP4A; H+/K+-exchanging ATPase alpha polypeptide
K01543	Metabolism	Energy metabolism	Oxidative_phosphorylation	ATP4B; H+/K+-exchanging ATPase beta polypeptide
K01544	Metabolism	Energy metabolism	Oxidative_phosphorylation	ATP12A; non-gastric H+/K+-exchanging ATPase
K01545	Environmental Information Processing	Signal transduction	Two-component_system	kdpF; K+-transporting ATPase ATPase F chain
K01546	Environmental Information Processing	Signal transduction	Two-component_system	kdpA; K+-transporting ATPase ATPase A chain
K01547	Environmental Information Processing	Signal transduction	Two-component_system	kdpB; K+-transporting ATPase ATPase B chain
K01548	Environmental Information Processing	Signal transduction	Two-component_system	kdpC; K+-transporting ATPase ATPase C chain
K01549	Metabolism	Energy metabolism	Oxidative_phosphorylation	TIM11 ATP21; F-type H+-transporting ATP synthase subunit e
K01555	Metabolism	Amino acid metabolism	Tyrosine_metabolism	FAH fahA; fumarylacetoacetase
K01556	Metabolism	Amino acid metabolism	Tryptophan_metabolism	KYNU kynU; kynureninase
K01557	Metabolism	Amino acid metabolism	Tyrosine_metabolism	FAHD1; acylpyruvate hydrolase
K01558	Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	WNT16; wingless-type MMTV integration site family member 16
K01560	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation	E3.8.1.2; 2-haloacid dehalogenase
K01561	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation	dehH; haloacetate dehalogenase
K01562	Organismal Systems	Endocrine system	Thyroid_hormone_signaling_pathway	DIO1; type I thyroxine 5'-deiodinase
K01563	Metabolism	Xenobiotics biodegradation and metabolism	Chloroalkane_and_chloroalkene_degradation	dhaA; haloalkane dehalogenase
K01565	Metabolism	Glycan biosynthesis and metabolism	Glycosaminoglycan_degradation	SGSH; N-sulfoglucosamine sulfohydrolase
K01568	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E4.1.1.1 pdc; pyruvate decarboxylase
K01569	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	oxdD; oxalate decarboxylase
K01571	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	oadA; oxaloacetate decarboxylase alpha subunit
K01572	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	oadB; oxaloacetate decarboxylase beta subunit
K01573	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	oadG; oxaloacetate decarboxylase gamma subunit
K01574	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	adc; acetoacetate decarboxylase
K01575	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	alsD budA aldC; acetolactate decarboxylase
K01576	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate_degradation	mdlC; benzoylformate decarboxylase
K01577	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	oxc; oxalyl-CoA decarboxylase
K01578	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	MLYCD; malonyl-CoA decarboxylase
K01579	Metabolism	Metabolism of other amino acids	beta-Alanine_metabolism	panD; aspartate 1-decarboxylase
K01580	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E4.1.1.15 gadB gadA GAD; glutamate decarboxylase
K01581	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E4.1.1.17 ODC1 speC speF; ornithine decarboxylase
K01582	Metabolism	Amino acid metabolism	Lysine_degradation	E4.1.1.18 ldcC cadA; lysine decarboxylase
K01583	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E4.1.1.19; arginine decarboxylase
K01584	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E4.1.1.19A adi; arginine decarboxylase
K01585	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E4.1.1.19S speA; arginine decarboxylase
K01586	Metabolism	Amino acid metabolism	Lysine_biosynthesis	lysA; diaminopimelate decarboxylase
K01587	Metabolism	Nucleotide metabolism	Purine_metabolism	PAICS; phosphoribosylaminoimidazole carboxylase / phosphoribosylaminoimidazole-succinocarboxamide synthase
K01588	Metabolism	Nucleotide metabolism	Purine_metabolism	purE; 5-(carboxyamino)imidazole ribonucleotide mutase
K01589	Metabolism	Nucleotide metabolism	Purine_metabolism	purK; 5-(carboxyamino)imidazole ribonucleotide synthase
K01590	Metabolism	Amino acid metabolism	Histidine_metabolism	hdc HDC; histidine decarboxylase
K01591	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	pyrF; orotidine-5'-phosphate decarboxylase
K01592	Metabolism	Amino acid metabolism	Tyrosine_metabolism	E4.1.1.25; tyrosine decarboxylase
K01593	Metabolism	Amino acid metabolism	Histidine_metabolism	DDC; aromatic-L-amino-acid decarboxylase
K01594	Metabolism	Metabolism of other amino acids	Taurine_and_hypotaurine_metabolism	CSAD; sulfinoalanine decarboxylase
K01595	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	ppc; phosphoenolpyruvate carboxylase
K01596	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E4.1.1.32 pckA PEPCK; phosphoenolpyruvate carboxykinase (GTP)
K01597	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	MVD mvaD; diphosphomevalonate decarboxylase
K01598	Metabolism	Metabolism of cofactors and vitamins	Pantothenate_and_CoA_biosynthesis	PPCDC coaC; phosphopantothenoylcysteine decarboxylase
K01599	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	hemE UROD; uroporphyrinogen decarboxylase
K01601	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	rbcL; ribulose-bisphosphate carboxylase large chain
K01602	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	rbcS; ribulose-bisphosphate carboxylase small chain
K01607	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate_degradation	pcaC; 4-carboxymuconolactone decarboxylase
K01608	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	gcl; tartronate-semialdehyde synthase
K01609	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	trpC; indole-3-glycerol phosphate synthase
K01610	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	E4.1.1.49 pckA; phosphoenolpyruvate carboxykinase (ATP)
K01611	Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism	speD AMD1; S-adenosylmethionine decarboxylase
K01612	Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate_degradation	E4.1.1.61; 4-hydroxybenzoate decarboxylase
K01613	Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	psd PISD; phosphatidylserine decarboxylase
K01615	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E4.1.1.70; glutaconyl-CoA decarboxylase
K01617	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate_degradation	dmpH xylI nahK; 2-oxo-3-hexenedioate decarboxylase
K01619	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	deoC DERA; deoxyribose-phosphate aldolase
K01620	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	ltaE; threonine aldolase
K01621	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	xfp xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
K01622	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K01622; fructose 16-bisphosphate aldolase/phosphatase
K01623	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	ALDO; fructose-bisphosphate aldolase class I
K01624	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	FBA fbaA; fructose-bisphosphate aldolase class II
K01625	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase
K01626	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	E2.5.1.54 aroF aroG aroH; 3-deoxy-7-phosphoheptulonate synthase
K01627	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide_biosynthesis	kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
K01628	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	fucA; L-fuculose-phosphate aldolase
K01629	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	rhaD; rhamnulose-1-phosphate aldolase
K01630	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	garL; 2-dehydro-3-deoxyglucarate aldolase
K01631	Metabolism	Carbohydrate metabolism	Galactose_metabolism	dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase
K01633	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	folB; dihydroneopterin aldolase
K01634	Metabolism	Lipid metabolism	Sphingolipid_metabolism	SGPL1 DPL1; sphinganine-1-phosphate aldolase
K01635	Metabolism	Carbohydrate metabolism	Galactose_metabolism	lacD; tagatose 16-diphosphate aldolase
K01637	Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	E4.1.3.1 aceA; isocitrate lyase
K01638	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	E2.3.3.9 aceB glcB; malate synthase
K01639	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	E4.1.3.3 nanA NPL; N-acetylneuraminate lyase
K01640	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E4.1.3.4 HMGCL hmgL; hydroxymethylglutaryl-CoA lyase
K01641	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E2.3.3.10; hydroxymethylglutaryl-CoA synthase
K01643	Environmental Information Processing	Signal transduction	Two-component_system	citF; citrate lyase subunit alpha / citrate CoA-transferase
K01644	Environmental Information Processing	Signal transduction	Two-component_system	citE; citrate lyase subunit beta / citryl-CoA lyase
K01645	Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	CER1; cerberus 1
K01646	Environmental Information Processing	Signal transduction	Two-component_system	citD; citrate lyase subunit gamma (acyl carrier protein)
K01647	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	CS gltA; citrate synthase
K01648	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	ACLY; ATP citrate (pro-S)-lyase
K01649	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	leuA; 2-isopropylmalate synthase
K01652	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E2.2.1.6L ilvB ilvG ilvI; acetolactate synthase I/II/III large subunit
K01653	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	E2.2.1.6S ilvH ilvN; acetolactate synthase I/III small subunit
K01654	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	E2.5.1.56 neuB; N-acetylneuraminate synthase
K01655	Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	LYS21 LYS20; homocitrate synthase
K01656	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase
K01657	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	trpE; anthranilate synthase component I
K01658	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	trpG; anthranilate synthase component II
K01659	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	prpC; 2-methylcitrate synthase
K01661	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	menB; naphthoate synthase
K01662	Metabolism	Metabolism of cofactors and vitamins	Thiamine_metabolism	dxs; 1-deoxy-D-xylulose-5-phosphate synthase
K01663	Metabolism	Amino acid metabolism	Histidine_metabolism	HIS7; glutamine amidotransferase / cyclase
K01664	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	pabA; para-aminobenzoate synthetase component II
K01665	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	pabB; para-aminobenzoate synthetase component I
K01666	Metabolism	Amino acid metabolism	Phenylalanine_metabolism	mhpE; 4-hydroxy 2-oxovalerate aldolase
K01667	Metabolism	Amino acid metabolism	Tryptophan_metabolism	tnaA; tryptophanase
K01668	Metabolism	Amino acid metabolism	Tyrosine_metabolism	E4.1.99.2; tyrosine phenol-lyase
K01670	Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene_degradation	nmsA; naphthyl-2-methylsuccinate synthase alpha subunit
K01672	Metabolism	Energy metabolism	Nitrogen_metabolism	E4.2.1.1; carbonic anhydrase
K01673	Metabolism	Energy metabolism	Nitrogen_metabolism	cynT can; carbonic anhydrase
K01674	Metabolism	Energy metabolism	Nitrogen_metabolism	cah; carbonic anhydrase
K01676	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	E4.2.1.2A fumA fumB; fumarate hydratase class I
K01677	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	E4.2.1.2AA fumA; fumarate hydratase subunit alpha
K01678	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	E4.2.1.2AB fumB; fumarate hydratase subunit beta
K01679	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	E4.2.1.2B fumC; fumarate hydratase class II
K01681	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	ACO acnA; aconitate hydratase
K01682	Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase
K01684	Metabolism	Carbohydrate metabolism	Galactose_metabolism	dgoD; galactonate dehydratase
K01685	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxaA; altronate hydrolase
K01686	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	uxuA; mannonate dehydratase
K01687	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_biosynthesis	ilvD; dihydroxy-acid dehydratase
K01689	Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	ENO eno; enolase
K01690	Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	edd; phosphogluconate dehydratase
K01691	Environmental Information Processing	Signal transduction	Wnt_signaling_pathway	WIF1; WNT inhibitory factor 1
K01692	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	paaF echA; enoyl-CoA hydratase
K01693	Metabolism	Amino acid metabolism	Histidine_metabolism	hisB; imidazoleglycerol-phosphate dehydratase
K01694	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	TRP; tryptophan synthase
K01695	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	trpA; tryptophan synthase alpha chain
K01696	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	trpB; tryptophan synthase beta chain
K01697	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	E4.2.1.22 CBS; cystathionine beta-synthase
K01698	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	hemB ALAD; porphobilinogen synthase
K01699	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	pduC; propanediol dehydratase large subunit
K01702	Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_biosynthesis	LEU1; 3-isopropylmalate dehydratase
K01703	Metabolism	Carbohydrate metabolism	C5-Branched_dibasic_acid_metabolism	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
K01704	Metabolism	Carbohydrate metabolism	C5-Branched_dibasic_acid_metabolism	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
K01705	Metabolism	Amino acid metabolism	Lysine_biosynthesis	LYS4; homoaconitate hydratase
K01706	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	gudD; glucarate dehydratase
K01707	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	kdgD; 5-dehydro-4-deoxyglucarate dehydratase
K01708	Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	garD; galactarate dehydratase
K01709	Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	rfbG; CDP-glucose 46-dehydratase
K01710	Metabolism	Metabolism of terpenoids and polyketides	Polyketide_sugar_unit_biosynthesis	E4.2.1.46 rfbB rffG; dTDP-glucose 46-dehydratase
K01711	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	gmd GMDS; GDPmannose 46-dehydratase
K01712	Metabolism	Amino acid metabolism	Histidine_metabolism	hutU UROC1; urocanate hydratase
K01713	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	pheC; cyclohexadienyl dehydratase
K01714	Metabolism	Amino acid metabolism	Lysine_biosynthesis	dapA; 4-hydroxy-tetrahydrodipicolinate synthase
K01715	Metabolism	Carbohydrate metabolism	Butanoate_metabolism	crt; enoyl-CoA hydratase
K01716	Metabolism	Lipid metabolism	Fatty_acid_biosynthesis	fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase
K01718	Metabolism	Nucleotide metabolism	Pyrimidine_metabolism	E4.2.1.70; pseudouridylate synthase
K01719	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	hemD UROS; uroporphyrinogen-III synthase
K01720	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	prpD; 2-methylcitrate dehydratase
K01721	Metabolism	Amino acid metabolism	Tryptophan_metabolism	E4.2.1.84; nitrile hydratase
K01723	Metabolism	Lipid metabolism	alpha-Linolenic_acid_metabolism	AOS; hydroperoxide dehydratase
K01725	Metabolism	Energy metabolism	Nitrogen_metabolism	cynS; cyanate lyase
K01728	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	E4.2.2.2 pel; pectate lyase
K01729	Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	algL; poly(beta-D-mannuronate) lyase
K01730	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	ogl; oligogalacturonide lyase
K01731	Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	E4.2.2.9; pectate disaccharide-lyase
K01733	Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	thrC; threonine synthase
K01734	Metabolism	Carbohydrate metabolism	Propanoate_metabolism	mgsA; methylglyoxal synthase
K01735	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	aroB; 3-dehydroquinate synthase
K01736	Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	aroC; chorismate synthase
K01737	Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	queD ptpS PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase
K01738	Metabolism	Energy metabolism	Sulfur_metabolism	cysK; cysteine synthase A
K01739	Metabolism	Energy metabolism	Sulfur_metabolism	metB; cystathionine gamma-synthase
K01740	Metabolism	Amino acid metabolism	Cysteine_and_methionine_metabolism	E2.5.1.49 metY; O-acetylhomoserine (thiol)-lyase
K01744	Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism	aspA; aspartate ammonia-lyase
K01745	Metabolism	Amino acid metabolism	Histidine_metabolism	hutH HAL; histidine ammonia-lyase
K01746	Metabolism	Metabolism of cofactors and vitamins	One_carbon_pool_by_folate	E4.3.1.4; formiminotetrahydrofolate cyclodeaminase
K01749	Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism	hemC HMBS; hydroxymethylbilane synthase
K01750	Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism	E4.3.1.12 ocd; ornithine cyclodeaminase
