Gene,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,Category,SuperPathway,SubPathway,KOAnnot
K02123,K02123: V-type H+-transporting ATPase subunit I,0.000402584,0.00033909,0.0003557,0.00016914,0.000315142,0.000400239,0.000396982,0.000291276,0.000301616,0.000314364,0.00033042,0.000327183,0.000305372,0.000371331,0.000340021,0.000350297,0.000330458,0.000308266,0.000330294,0.000334333,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPVI ntpI atpI; V/A-type H+-transporting ATPase subunit I
K02124,K02124: V-type H+-transporting ATPase subunit K,0.000701273,0.000657355,0.000598532,0.00045326,0.000817705,0.000789685,0.000622424,0.00069559,0.000634963,0.000621005,0.00054269,0.000689686,0.000621293,0.000831247,0.000661149,0.000680295,0.000625136,0.000701579,0.000626777,0.000817001,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPVK ntpK atpK; V/A-type H+-transporting ATPase subunit K
K02126,K02126: F-type H+-transporting ATPase subunit a,0,0,0,0,0,1.13E-05,3.07E-05,0,9.96E-06,0,0,0,1.11E-05,0,0,0,0,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeF0A MTATP6 ATP6; F-type H+-transporting ATPase subunit a
K02128,K02128: F-type H+-transporting ATPase subunit c,0,0,0,0,0,0,5.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeF0C ATP5G ATP9; F-type H+-transporting ATPase subunit c
K02132,K02132: F-type H+-transporting ATPase subunit alpha,1.47E-05,0,1.69E-05,0,5.09E-06,9.12E-06,1.39E-05,8.46E-06,3.95E-06,0,6.99E-06,0,1.35E-05,7.01E-06,6.89E-06,3.98E-06,2.55E-05,4.56E-06,1.34E-05,4.98E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeF1A ATP5A1 ATP1; F-type H+-transporting ATPase subunit alpha
K02133,K02133: F-type H+-transporting ATPase subunit beta,7.55E-06,4.24E-05,3.78E-05,2.00E-05,4.91E-05,9.17E-06,5.28E-05,4.56E-05,4.25E-05,6.73E-05,6.62E-05,5.54E-05,4.61E-05,5.14E-05,4.98E-05,4.04E-05,5.46E-05,6.23E-05,6.37E-05,4.35E-05,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeF1B ATP5B ATP2; F-type H+-transporting ATPase subunit beta
K02145,K02145: V-type H+-transporting ATPase subunit A,5.64E-06,9.13E-06,8.69E-06,0,1.82E-05,4.19E-06,6.54E-06,7.99E-06,3.24E-06,0,6.60E-06,1.40E-05,0,1.32E-05,0,1.41E-05,1.30E-05,4.31E-06,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeV1A ATP6A; V-type H+-transporting ATPase subunit A
K02147,K02147: V-type H+-transporting ATPase subunit B,8.39E-06,5.70E-06,1.16E-05,0,1.16E-05,1.00E-05,7.88E-06,2.42E-05,9.09E-06,0,0,1.69E-05,1.51E-05,7.98E-06,1.57E-05,1.75E-05,1.15E-05,5.20E-06,5.11E-06,1.14E-05,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeV1B ATP6B; V-type H+-transporting ATPase subunit B
K02154,K02154: V-type H+-transporting ATPase subunit I,0,0,0,0,0,0,0,0,2.70E-06,0,0,0,0,0,0,0,0,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeV0A ATP6N; V-type H+-transporting ATPase subunit a
K02155,K02155: V-type H+-transporting ATPase 16kDa proteolipid subunit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E-05,0,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,ATPeV0C ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit
K02160,K02160: acetyl-CoA carboxylase biotin carboxyl carrier protein,0.000429765,0.000365026,0.000259185,0.000136266,0.00027287,0.000329733,0.000401948,0.000274783,0.000356004,0.000299686,0.000255246,0.000293679,0.000329526,0.000183928,0.00024786,0.000344016,0.000430333,0.000327729,0.000325839,0.000273685,Metabolism,Carbohydrate metabolism,Pyruvate_metabolism,accB bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein
K02167,K02167: TetR/AcrR family transcriptional regulator transcriptional,2.10E-05,0,0,0,0,0,0,2.40E-05,0,0,1.97E-05,0,1.25E-05,0,0,0,2.85E-05,0,1.28E-05,0,None,None,None,None
K02168,K02168: high-affinity choline transport protein,8.03E-05,8.35E-06,5.49E-06,3.88E-05,1.28E-05,3.29E-05,2.94E-05,1.51E-05,3.39E-06,4.90E-06,6.66E-06,6.39E-06,1.56E-05,3.10E-05,1.18E-05,3.25E-06,3.84E-05,1.22E-05,2.84E-05,3.99E-06,None,None,None,None
K02169,K02169: biotin synthesis protein BioC,0.000129429,0.00022554,8.40E-05,5.66E-05,0.000118019,0.000106655,0.000202333,0.000152854,0.000140113,6.65E-05,0.0001622,0.000166355,0.000158771,0.000210623,0.000176352,0.000112329,0.000162642,6.16E-05,0.000139539,0.000145285,Metabolism,Metabolism of cofactors and vitamins,Biotin_metabolism,bioC; malonyl-CoA O-methyltransferase
K02170,K02170: biotin biosynthesis protein BioH,1.61E-05,0,0,0,1.14E-05,1.00E-05,0,9.47E-06,0,0,0,0,9.78E-06,0,0,0,3.34E-05,0,2.00E-05,1.09E-05,Metabolism,Metabolism of cofactors and vitamins,Biotin_metabolism,bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase
K02171,K02171: penicillinase repressor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human Diseases,Drug resistance,beta-Lactam_resistance,blaI; BlaI family transcriptional regulator penicillinase repressor
K02172,K02172: bla regulator protein blaR1,3.58E-05,1.91E-05,1.98E-05,1.80E-05,1.98E-05,3.05E-05,2.02E-05,2.06E-05,1.92E-05,2.21E-05,2.72E-05,2.18E-05,1.70E-05,2.04E-05,1.34E-05,2.21E-05,1.47E-05,3.55E-05,2.63E-05,1.45E-05,Human Diseases,Drug resistance,beta-Lactam_resistance,blaR1; bla regulator protein blaR1
K02173,K02173: hypothetical protein,8.48E-05,1.12E-05,1.16E-05,0,2.19E-05,1.02E-05,4.60E-05,2.95E-05,1.80E-05,1.03E-05,3.18E-05,3.40E-05,3.04E-05,3.02E-05,2.97E-05,3.52E-05,5.77E-05,2.11E-05,4.09E-05,3.35E-05,None,None,None,None
K02182,K02182: crotonobetaine/carnitine-CoA ligase,1.60E-05,1.08E-05,5.45E-06,4.05E-05,1.66E-05,3.87E-05,0,1.40E-05,4.32E-06,1.00E-05,7.69E-06,2.48E-05,2.84E-05,2.27E-05,7.41E-06,0,1.65E-05,9.91E-06,1.94E-05,4.32E-05,None,None,None,None
K02188,K02188: cobalamin biosynthesis protein CbiD,0.000295717,0.000348636,0.000298701,0.000244607,0.000340775,0.000279968,0.000345087,0.00030001,0.000298061,0.000307376,0.000410015,0.000390614,0.000278113,0.000355623,0.000306312,0.000286518,0.000435101,0.000349162,0.000324963,0.000320981,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cbiD; cobalt-precorrin-5B (C1)-methyltransferase
K02189,K02189: cobalamin biosynthesis protein CbiG,0.000249956,0.000225549,0.000189184,0.000132035,0.000244338,0.000186339,0.000215578,0.000230194,0.000164472,0.000217476,0.000251647,0.000256678,0.00016122,0.00017934,0.000243093,0.000204903,0.000280381,0.000266343,0.000266662,0.000238391,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cbiG; cobalt-precorrin 5A hydrolase
K02190,K02190: sirohydrochlorin cobaltochelatase,0.000365122,0.000307231,0.000285507,0.000246053,0.000379842,0.000334808,0.00040583,0.000299815,0.000303315,0.000315476,0.00043162,0.000347688,0.000313491,0.00039687,0.000349569,0.000361235,0.000477177,0.000249843,0.000437629,0.000379733,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cbiK; sirohydrochlorin cobaltochelatase
K02191,K02191: precorrin-8W decarboxylase,0.000107204,7.25E-05,6.07E-05,2.63E-05,2.97E-05,4.00E-05,2.03E-05,7.53E-05,5.76E-05,6.65E-05,6.29E-05,2.27E-05,6.34E-05,0,4.16E-05,6.63E-05,0.000102482,5.47E-05,0.000118649,5.91E-05,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cbiT; cobalt-precorrin-6B (C15)-methyltransferase
K02192,K02192: bacterioferritin-associated ferredoxin,0.000102062,0,0,9.29E-05,0,0,0,3.79E-05,0,0,0,0,6.05E-05,0,0,0,4.50E-05,0,4.03E-05,0,None,None,None,None
K02193,K02193: heme exporter ATP-binding protein CcmA,8.16E-05,1.41E-05,2.77E-05,7.70E-05,0,0,3.80E-05,2.34E-05,1.13E-05,0,1.93E-05,2.06E-05,1.21E-05,1.87E-05,1.88E-05,1.15E-05,2.79E-05,1.25E-05,1.25E-05,0,Environmental Information Processing,Membrane transport,ABC_transporters,ccmA; heme exporter protein A
K02194,K02194: heme exporter membrane protein CcmB,5.70E-05,2.50E-05,2.62E-05,4.79E-05,8.70E-05,2.16E-05,5.21E-05,4.38E-05,0,9.59E-06,3.49E-05,1.58E-05,2.27E-05,3.38E-05,5.14E-05,1.93E-05,5.12E-05,3.30E-05,3.42E-05,7.21E-05,Environmental Information Processing,Membrane transport,ABC_transporters,ccmB; heme exporter protein B
K02195,K02195: heme exporter membrane protein CcmC,0.000147488,8.20E-05,6.06E-05,5.89E-05,0.000103253,4.01E-05,6.16E-05,7.52E-05,5.26E-05,4.67E-05,7.98E-05,5.96E-05,4.73E-05,6.43E-05,5.75E-05,4.80E-05,3.90E-05,4.86E-05,6.91E-05,7.86E-05,Environmental Information Processing,Membrane transport,ABC_transporters,ccmC; heme exporter protein C
K02196,K02196: cytochrome c-type biogenesis protein CcmD,6.03E-05,0,0,7.79E-05,0,0,5.83E-05,3.46E-05,3.23E-05,0,0,0,3.57E-05,0,0,3.10E-05,4.11E-05,0,3.74E-05,0,Environmental Information Processing,Membrane transport,ABC_transporters,ccmD; heme exporter protein D
K02197,K02197: cytochrome c-type biogenesis protein CcmE,0.000104838,7.43E-05,1.83E-05,0,6.72E-05,1.15E-05,4.98E-05,2.61E-05,2.74E-05,5.22E-05,4.33E-05,5.39E-05,3.26E-05,0,9.11E-05,1.46E-05,1.93E-05,1.64E-05,2.78E-05,2.57E-05,None,None,None,None
K02198,K02198: cytochrome c-type biogenesis protein CcmF,0.000113151,8.24E-05,4.22E-05,8.10E-05,7.93E-05,5.62E-05,7.81E-05,6.89E-05,5.38E-05,4.47E-05,7.00E-05,9.20E-05,7.07E-05,8.88E-05,0.00010616,4.59E-05,4.08E-05,4.37E-05,6.18E-05,7.40E-05,None,None,None,None
K02199,K02199: cytochrome c biogenesis protein CcmG thiol:disulfide interchange,4.59E-05,1.57E-05,1.66E-05,0.000147609,1.59E-05,1.33E-05,6.64E-05,6.65E-05,0,1.38E-05,0,2.37E-05,2.55E-05,2.27E-05,2.19E-05,0,3.17E-05,1.49E-05,5.64E-05,0,None,None,None,None
K02200,K02200: cytochrome c-type biogenesis protein CcmH,9.88E-05,5.19E-05,0,6.55E-05,8.33E-06,1.72E-05,0.000100413,2.37E-05,0,4.66E-05,3.53E-05,1.41E-05,2.20E-05,1.15E-05,3.27E-05,5.35E-06,6.45E-05,2.93E-05,2.52E-05,0,None,None,None,None
K02201,K02201: pantetheine-phosphate adenylyltransferase,0,0,1.92E-05,0,0,1.71E-05,0,1.62E-05,0,1.73E-05,0,0,1.67E-05,0,0,0,0,1.74E-05,0,0,Metabolism,Metabolism of cofactors and vitamins,Pantothenate_and_CoA_biosynthesis,E2.7.7.3B; pantetheine-phosphate adenylyltransferase
K02203,K02203: phosphoserine / homoserine phosphotransferase,0.000123895,0.000207291,0.000343957,0.000208186,0.00034416,0.000201092,0.000252764,0.000239245,0.000346405,0.000358805,0.000353983,0.000356202,0.000271119,0.000177237,0.000194148,0.000310225,0.000295597,0.000398769,0.000316972,0.000350716,Metabolism,Energy metabolism,Methane_metabolism,thrH; phosphoserine / homoserine phosphotransferase
K02204,K02204: homoserine kinase type II,0,0,1.77E-05,1.69E-05,8.35E-06,1.58E-05,0,0,0,8.02E-06,1.27E-05,0,7.72E-06,1.28E-05,0,0,0,1.56E-05,0,0,Metabolism,Amino acid metabolism,Glycine_serine_and_threonine_metabolism,thrB2; homoserine kinase type II
K02205,K02205: arginine/ornithine permease,0,6.10E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
K02210,K02210: minichromosome maintenance protein 7 (cell division control protein,0,3.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Genetic Information Processing,Replication and repair,DNA_replication,MCM7 CDC47; DNA replication licensing factor MCM7
K02212,K02212: minichromosome maintenance protein 4 (cell division control protein,0,5.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-06,0,0,0,0,Genetic Information Processing,Replication and repair,DNA_replication,MCM4 CDC54; DNA replication licensing factor MCM4
K02217,K02217: ferritin 1,0.000760629,0.000520022,0.000491896,0.00041635,0.000708937,0.000646421,0.000436176,0.000515007,0.000498039,0.000468733,0.0005193,0.000608625,0.000561142,0.000913258,0.000683779,0.00055477,0.000475015,0.000364231,0.000487362,0.00065723,None,None,None,None
K02218,K02218: casein kinase 1,0,6.51E-06,0,0,0,0,0,0,9.96E-06,0,0,0,0,0,0,0,0,0,0,0,Environmental Information Processing,Signal transduction,Hedgehog_signaling_pathway,CSNK1 CK1; casein kinase 1
K02221,K02221: YggT family protein,0.000118882,1.32E-05,7.36E-05,5.69E-05,8.34E-05,0.000117308,4.01E-05,9.53E-05,2.49E-05,5.18E-05,4.00E-05,4.61E-05,5.37E-05,0,7.77E-05,6.93E-05,7.19E-05,5.21E-05,9.23E-05,0.000179646,None,None,None,None
K02224,K02224: hydrogenobyrinic acid ac-diamide synthase,0.00029839,0.000328482,0.000323754,0.000260115,0.000370527,0.000274819,0.000354035,0.000332778,0.00041714,0.000369267,0.000450976,0.000463448,0.000326983,0.000374933,0.000320691,0.000333747,0.00047642,0.000317865,0.000432847,0.000386912,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobB-cbiA; cobyrinic acid ac-diamide synthase
K02225,K02225: cobalamin biosynthetic protein CobC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobC1 cobC; cobalamin biosynthetic protein CobC
K02226,K02226: alpha-ribazole phosphatase,0.000146411,0.00025059,0.000302035,0.000207865,0.000359313,0.000226729,0.000233156,0.000241383,0.000323585,0.000294444,0.000256251,0.00027604,0.000286591,0.000157663,0.000174317,0.00028893,0.00028636,0.000280421,0.000322741,0.000238344,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobC2 cobC phpB; alpha-ribazole phosphatase
K02227,K02227: adenosylcobinamide-phosphate synthase CobD,0.000399738,0.000388938,0.000387321,0.000287672,0.000402415,0.000334454,0.000354108,0.000453048,0.000366024,0.000337435,0.000456325,0.000513863,0.000306826,0.000333069,0.000315888,0.00032937,0.000434371,0.000316548,0.000515603,0.000378945,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cbiB cobD; adenosylcobinamide-phosphate synthase
K02230,K02230: cobaltochelatase CobN,8.09E-05,9.33E-05,7.65E-05,0.000121203,6.12E-05,6.10E-05,0.000121468,0.000122493,5.27E-05,6.52E-05,7.15E-05,7.47E-05,0.000142405,0.000140788,7.52E-05,4.69E-05,0.000108031,6.11E-05,8.42E-05,7.80E-05,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobN; cobaltochelatase CobN
K02231,K02231: adenosylcobinamide kinase / adenosylcobinamide-phosphate,0.000340729,0.000424291,0.000241534,0.000264702,0.000316536,0.000312374,0.000377673,0.00043278,0.000337426,0.000271155,0.000433672,0.000372169,0.000427177,0.000451059,0.000399763,0.000315195,0.000401362,0.000285868,0.000444176,0.000338388,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobP cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
K02232,K02232: adenosylcobyric acid synthase,0.000344802,0.000353892,0.00027707,0.000320979,0.000316965,0.00031112,0.000409582,0.000342448,0.000348171,0.000327239,0.000390882,0.000418062,0.000338333,0.000384063,0.000297012,0.000327753,0.000502724,0.000253368,0.000379722,0.000335479,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,E6.3.5.10 cobQ cbiP; adenosylcobyric acid synthase
K02233,K02233: adenosylcobinamide-GDP ribazoletransferase,0.00034783,0.000402121,0.000300478,0.00020944,0.000416692,0.0003163,0.000335608,0.000411196,0.000367519,0.000298139,0.000397473,0.000426316,0.000355985,0.000334028,0.000344276,0.000276169,0.000366852,0.000330542,0.000468752,0.000383597,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,E2.7.8.26 cobS cobV; adenosylcobinamide-GDP ribazoletransferase
K02234,K02234: cobalamin biosynthesis protein CobW,3.53E-05,5.59E-05,2.46E-05,0.000104916,2.48E-05,3.60E-05,7.81E-05,4.81E-05,4.49E-05,1.46E-05,3.40E-05,3.64E-05,7.10E-05,3.41E-05,3.36E-05,4.92E-05,3.25E-05,2.22E-05,3.65E-05,3.23E-05,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobW; cobalamin biosynthesis protein CobW
K02236,K02236: leader peptidase (prepilin peptidase) / N-methyltransferase,3.66E-05,1.17E-05,0,0,0,0,1.84E-05,9.74E-06,8.94E-06,0,0,0,0,0,0,8.57E-06,0,0,2.28E-05,0,None,None,None,None
K02237,K02237: competence protein ComEA,0.000286298,0.000224299,0.00015325,0.00024194,0.00027157,0.000203405,0.000277049,0.000202866,9.09E-05,0.000235322,0.000126252,0.000170509,0.000286704,0.000149269,0.000120756,0.00012923,0.000224184,0.000144006,0.000297561,0.0002525,None,None,None,None
K02238,K02238: competence protein ComEC,0.000441746,0.000505394,0.000331928,0.000307765,0.000458779,0.000434125,0.000424336,0.000465013,0.000490564,0.000412604,0.000429326,0.000341833,0.000476301,0.000366907,0.000396775,0.000505133,0.000438109,0.000431711,0.000464563,0.000425579,None,None,None,None
K02239,K02239: competence protein ComER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
K02240,K02240: competence protein ComFA,1.96E-05,0,6.91E-06,0,1.47E-05,2.58E-05,3.81E-05,2.24E-05,0,1.18E-05,1.11E-05,1.19E-05,6.95E-06,2.03E-05,1.10E-05,0,1.31E-05,1.82E-05,1.73E-05,1.91E-05,None,None,None,None
K02242,K02242: competence protein ComFC,3.53E-05,1.21E-05,3.69E-05,6.83E-05,3.37E-05,5.58E-05,0,2.94E-05,1.04E-05,3.26E-05,3.32E-05,5.20E-05,3.18E-05,0,1.52E-05,3.62E-05,0,3.28E-05,3.15E-05,3.30E-05,None,None,None,None
K02243,K02243: competence protein ComGA,3.71E-05,0,8.18E-06,0,3.58E-05,3.21E-05,1.23E-05,7.51E-06,7.00E-06,1.49E-05,1.24E-05,1.33E-05,7.75E-06,1.24E-05,1.22E-05,0,0,1.58E-05,3.09E-05,8.83E-06,None,None,None,None
K02244,K02244: competence protein ComGB,1.15E-05,0,0,0,8.05E-06,7.36E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-05,0,None,None,None,None
K02245,K02245: competence protein ComGC,3.91E-05,0,3.00E-05,4.90E-05,0,2.56E-05,3.70E-05,0,0,7.49E-05,0,0,0,0,0,0,4.95E-05,2.70E-05,2.41E-05,0,None,None,None,None
K02246,K02246: competence protein ComGD,2.97E-05,0,0,0,0,1.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-05,None,None,None,None
K02248,K02248: competence protein ComGF,5.48E-05,0,0,0,2.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
K02250,K02250: competence protein ComK,0,2.94E-05,0,0,0,0,0,1.31E-05,1.41E-05,0,0,0,2.92E-05,0,0,2.48E-05,0,0,0,0,None,None,None,None
K02255,K02255: ferritin-like protein 2,2.53E-05,0,0,0,0,0,0,1.45E-05,0,0,0,0,1.50E-05,0,0,0,3.45E-05,0,3.09E-05,0,None,None,None,None
K02256,K02256: cytochrome c oxidase subunit I,0,0,0,0,5.63E-06,0,2.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,COX1; cytochrome c oxidase subunit 1
K02258,K02258: cytochrome c oxidase subunit XI assembly protein,0,0,0,0,1.40E-05,1.24E-05,1.93E-05,2.35E-05,0,0,0,2.06E-05,0,1.96E-05,0,0,0,0,1.26E-05,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,COX11; cytochrome c oxidase assembly protein subunit 11
K02259,K02259: cytochrome c oxidase subunit XV assembly protein,2.09E-05,0,8.06E-06,0,0,1.26E-05,9.81E-06,0,0,0,0,0,1.23E-05,0,0,0,7.03E-06,0,6.39E-06,7.03E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,COX15; cytochrome c oxidase assembly protein subunit 15
K02261,K02261: cytochrome c oxidase subunit II,0,1.24E-05,1.27E-05,0,0,1.12E-05,1.57E-05,0,0,1.13E-05,3.48E-05,1.86E-05,0,0,0,0,0,0,1.14E-05,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,COX2; cytochrome c oxidase subunit 2
K02262,K02262: cytochrome c oxidase subunit III,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,9.59E-06,0,0,0,0,0,9.89E-06,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,COX3; cytochrome c oxidase subunit 3
K02274,K02274: cytochrome c oxidase subunit I,0,0,1.53E-05,1.87E-05,2.03E-05,3.15E-05,2.10E-05,8.61E-06,0,0,2.10E-05,0,1.74E-05,0,6.68E-06,0,0,0,0,9.86E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,coxA; cytochrome c oxidase subunit I
K02275,K02275: cytochrome c oxidase subunit II,1.08E-05,0,0,2.76E-05,7.51E-06,2.65E-05,1.62E-05,6.25E-06,0,5.38E-06,1.03E-05,2.20E-05,1.91E-05,2.05E-05,0,0,7.38E-06,0,1.32E-05,7.31E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,coxB; cytochrome c oxidase subunit II
K02276,K02276: cytochrome c oxidase subunit III,0,0,2.63E-05,0,0,3.23E-05,1.68E-05,0,0,0,0,0,8.60E-06,0,0,0,9.79E-06,0,0,0,Metabolism,Energy metabolism,Oxidative_phosphorylation,coxC; cytochrome c oxidase subunit III
K02278,K02278: prepilin peptidase CpaA,4.94E-05,6.82E-05,9.09E-05,3.39E-05,3.85E-05,4.78E-05,0.00012249,5.75E-05,2.85E-05,6.54E-05,5.29E-05,5.25E-05,7.45E-05,7.19E-05,2.44E-05,2.73E-05,0.00012233,0.00011371,6.66E-05,5.53E-05,None,None,None,None
K02279,K02279: pilus assembly protein CpaB,0.000217202,5.87E-05,0.000130038,7.36E-05,0.000154088,7.49E-05,8.04E-05,0.000120257,0.00010383,9.98E-05,5.68E-05,0.000105011,0.000142247,2.67E-05,5.94E-05,9.15E-05,4.82E-05,0.000113143,7.01E-05,0.000104397,None,None,None,None
K02280,K02280: pilus assembly protein CpaC,0,1.73E-05,1.19E-05,1.16E-05,1.27E-05,1.55E-05,1.57E-05,1.03E-05,0,5.41E-06,0,0,0,3.44E-05,1.59E-05,0,1.23E-05,5.67E-06,1.62E-05,6.17E-06,None,None,None,None
K02281,K02281: pilus assembly protein CpaD,0,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.73E-05,0,0,0,0,0,None,None,None,None
K02282,K02282: pilus assembly protein CpaE,3.99E-05,4.93E-05,2.05E-05,4.89E-05,3.45E-05,4.25E-05,1.95E-05,4.67E-05,3.38E-05,6.19E-06,2.89E-05,4.20E-05,4.30E-05,4.95E-05,4.63E-05,3.24E-05,1.46E-05,6.23E-06,1.83E-05,5.29E-05,None,None,None,None
K02283,K02283: pilus assembly protein CpaF,0.000432512,0.000427063,0.000598232,0.000426269,0.000491304,0.000434823,0.000462692,0.000502084,0.000594199,0.000493517,0.000542552,0.000586615,0.000487711,0.000353997,0.000386794,0.000513326,0.000719226,0.000608551,0.000514777,0.000560422,None,None,None,None
K02291,K02291: phytoene synthase,4.34E-05,0,1.98E-05,0,1.96E-05,5.31E-05,0,1.70E-05,2.99E-05,1.75E-05,1.40E-05,0,8.57E-06,3.99E-05,1.27E-05,3.71E-05,0,3.46E-05,0,9.17E-06,Metabolism,Metabolism of terpenoids and polyketides,Carotenoid_biosynthesis,crtB; phytoene synthase
K02297,K02297: cytochrome o ubiquinol oxidase subunit II,3.70E-05,0,0,0,0,1.43E-05,1.15E-05,1.44E-05,0,0,2.42E-05,0,2.15E-05,0,0,0,2.58E-05,0,7.77E-06,1.75E-05,Metabolism,Energy metabolism,Oxidative_phosphorylation,cyoA; cytochrome o ubiquinol oxidase subunit II
K02298,K02298: cytochrome o ubiquinol oxidase subunit I,2.54E-05,0,0,0,8.75E-06,7.68E-06,5.94E-06,1.45E-05,3.41E-06,0,0,6.47E-06,1.12E-05,1.21E-05,0,0,1.72E-05,0,2.32E-05,4.30E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,cyoB; cytochrome o ubiquinol oxidase subunit I
K02299,K02299: cytochrome o ubiquinol oxidase subunit III,2.05E-05,0,0,2.40E-05,0,0,0,1.18E-05,0,0,0,0,1.21E-05,1.93E-05,0,0,1.40E-05,0,1.25E-05,1.37E-05,Metabolism,Energy metabolism,Oxidative_phosphorylation,cyoC; cytochrome o ubiquinol oxidase subunit III
K02300,K02300: cytochrome o ubiquinol oxidase operon protein cyoD,6.20E-05,0,0,3.89E-05,2.14E-05,0,0,1.71E-05,2.06E-05,0,0,0,1.76E-05,0,0,0,2.03E-05,0,3.79E-05,2.10E-05,Metabolism,Energy metabolism,Oxidative_phosphorylation,cyoD; cytochrome o ubiquinol oxidase operon protein cyoD
K02301,K02301: protoheme IX farnesyltransferase,1.43E-05,0,0,0,1.96E-05,0,1.32E-05,1.64E-05,7.18E-06,0,0,0,1.68E-05,2.69E-05,1.31E-05,0,1.89E-05,0,1.69E-05,9.06E-06,Metabolism,Energy metabolism,Oxidative_phosphorylation,cyoE; protoheme IX farnesyltransferase
K02302,K02302: uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase /,5.48E-05,7.00E-05,2.82E-05,0.000112674,3.02E-05,5.25E-05,7.88E-05,4.22E-05,5.13E-05,5.05E-05,4.32E-05,2.75E-05,2.71E-05,1.75E-05,1.72E-05,4.93E-05,7.42E-05,5.96E-05,8.07E-05,1.25E-05,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase
K02303,K02303: uroporphyrin-III C-methyltransferase,0.000127871,5.02E-05,5.83E-05,2.20E-05,7.82E-05,0.000106735,3.15E-05,9.51E-05,1.78E-05,4.13E-05,4.54E-05,3.29E-05,6.91E-05,7.93E-05,4.32E-05,1.71E-05,6.51E-05,6.27E-05,8.70E-05,3.35E-05,Metabolism,Metabolism of cofactors and vitamins,Porphyrin_and_chlorophyll_metabolism,cobA; uroporphyrin-III C-methyltransferase
